May 24, 2023   18:26:48
Cyclic Voltammetry
File: c:/users/mapence2/desktop/data/2023_05_24\expt1\mix_6\cv_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CV
Note: 

Init E (V) = 0
High E (V) = 0.7
Low E (V) = 0
Final E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.005
Segment = 3
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:
Segment 1:

Segment 2:

Segment 3:

Potential/V, Current/A

0.000, 3.351e-12
0.001, 2.912e-12
0.002, 2.577e-12
0.003, 2.155e-12
0.004, 1.942e-12
0.005, 1.636e-12
0.006, 1.470e-12
0.007, 1.264e-12
0.008, 9.994e-13
0.009, 9.349e-13
0.010, 8.207e-13
0.011, 6.852e-13
0.012, 5.411e-13
0.013, 4.261e-13
0.014, 3.505e-13
0.015, 2.615e-13
0.016, 1.276e-13
0.017, -2.363e-15
0.018, -4.726e-14
0.019, -1.166e-13
0.020, -2.788e-13
0.021, -3.119e-13
0.022, -4.009e-13
0.023, -4.631e-13
0.024, -6.293e-13
0.025, -7.104e-13
0.026, -7.647e-13
0.027, -8.411e-13
0.028, -9.081e-13
0.029, -9.467e-13
0.030, -9.963e-13
0.031, -1.059e-12
0.032, -1.147e-12
0.033, -1.347e-12
0.034, -1.586e-12
0.035, -1.500e-12
0.036, -1.441e-12
0.037, -1.457e-12
0.038, -1.544e-12
0.039, -1.641e-12
0.040, -1.648e-12
0.041, -1.666e-12
0.042, -1.778e-12
0.043, -1.824e-12
0.044, -1.894e-12
0.045, -2.097e-12
0.046, -2.232e-12
0.047, -2.272e-12
0.048, -2.354e-12
0.049, -2.340e-12
0.050, -2.274e-12
0.051, -2.277e-12
0.052, -2.237e-12
0.053, -2.416e-12
0.054, -2.493e-12
0.055, -2.596e-12
0.056, -2.938e-12
0.057, -2.845e-12
0.058, -2.731e-12
0.059, -2.902e-12
0.060, -2.818e-12
0.061, -2.989e-12
0.062, -3.014e-12
0.063, -2.975e-12
0.064, -2.992e-12
0.065, -3.201e-12
0.066, -3.180e-12
0.067, -3.224e-12
0.068, -3.443e-12
0.069, -3.693e-12
0.070, -3.380e-12
0.071, -3.526e-12
0.072, -3.691e-12
0.073, -3.468e-12
0.074, -3.584e-12
0.075, -3.687e-12
0.076, -3.814e-12
0.077, -3.820e-12
0.078, -3.853e-12
0.079, -3.940e-12
0.080, -4.112e-12
0.081, -4.160e-12
0.082, -4.151e-12
0.083, -4.207e-12
0.084, -4.295e-12
0.085, -4.351e-12
