May 24, 2023   18:27:23
Amperometric i-t Curve
File: c:/users/mapence2/desktop/data/2023_05_24\expt1\mix_6\it_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CA
Note: 

Init E (V) = 0.7
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, -3.287e-10
2.000e-1, -3.239e-10
3.000e-1, -3.188e-10
4.000e-1, -3.145e-10
5.000e-1, -3.106e-10
6.000e-1, -3.070e-10
7.000e-1, -3.035e-10
8.000e-1, -3.007e-10
9.000e-1, -2.992e-10
1.000e+0, -2.971e-10
1.100e+0, -2.934e-10
1.200e+0, -2.914e-10
1.300e+0, -2.904e-10
1.400e+0, -2.876e-10
1.500e+0, -2.850e-10
1.600e+0, -2.829e-10
1.700e+0, -2.812e-10
1.800e+0, -2.794e-10
1.900e+0, -2.779e-10
2.000e+0, -2.764e-10
2.100e+0, -2.750e-10
2.200e+0, -2.737e-10
2.300e+0, -2.723e-10
2.400e+0, -2.709e-10
2.500e+0, -2.694e-10
2.600e+0, -2.680e-10
2.700e+0, -2.674e-10
2.800e+0, -2.663e-10
2.900e+0, -2.652e-10
3.000e+0, -2.644e-10
3.100e+0, -2.635e-10
3.200e+0, -2.625e-10
3.300e+0, -2.617e-10
3.400e+0, -2.610e-10
3.500e+0, -2.598e-10
3.600e+0, -2.590e-10
3.700e+0, -2.584e-10
3.800e+0, -2.575e-10
3.900e+0, -2.574e-10
4.000e+0, -2.567e-10
4.100e+0, -2.558e-10
4.200e+0, -2.553e-10
4.300e+0, -2.554e-10
4.400e+0, -2.545e-10
4.500e+0, -2.536e-10
4.600e+0, -2.534e-10
4.700e+0, -2.530e-10
4.800e+0, -2.522e-10
4.900e+0, -2.514e-10
5.000e+0, -2.507e-10
5.100e+0, -2.501e-10
5.200e+0, -2.494e-10
5.300e+0, -2.489e-10
5.400e+0, -2.483e-10
5.500e+0, -2.476e-10
5.600e+0, -2.472e-10
5.700e+0, -2.467e-10
5.800e+0, -2.463e-10
5.900e+0, -2.460e-10
6.000e+0, -2.456e-10
6.100e+0, -2.452e-10
6.200e+0, -2.447e-10
6.300e+0, -2.442e-10
6.400e+0, -2.437e-10
6.500e+0, -2.435e-10
6.600e+0, -2.431e-10
6.700e+0, -2.426e-10
6.800e+0, -2.421e-10
6.900e+0, -2.419e-10
7.000e+0, -2.416e-10
7.100e+0, -2.412e-10
7.200e+0, -2.410e-10
7.300e+0, -2.409e-10
7.400e+0, -2.409e-10
7.500e+0, -2.409e-10
7.600e+0, -2.411e-10
7.700e+0, -2.408e-10
7.800e+0, -2.404e-10
7.900e+0, -2.400e-10
8.000e+0, -2.397e-10
8.100e+0, -2.395e-10
8.200e+0, -2.394e-10
8.300e+0, -2.395e-10
8.400e+0, -2.395e-10
8.500e+0, -2.396e-10
8.600e+0, -2.395e-10
8.700e+0, -2.395e-10
8.800e+0, -2.394e-10
8.900e+0, -2.392e-10
9.000e+0, -2.392e-10
9.100e+0, -2.394e-10
9.200e+0, -2.399e-10
9.300e+0, -2.399e-10
9.400e+0, -2.397e-10
9.500e+0, -2.395e-10
9.600e+0, -2.389e-10
9.700e+0, -2.385e-10
9.800e+0, -2.387e-10
9.900e+0, -2.385e-10
1.000e+1, -2.380e-10
1.010e+1, -2.377e-10
1.020e+1, -2.373e-10
1.030e+1, -2.371e-10
1.040e+1, -2.371e-10
1.050e+1, -2.370e-10
1.060e+1, -2.369e-10
1.070e+1, -2.365e-10
1.080e+1, -2.363e-10
1.090e+1, -2.359e-10
1.100e+1, -2.356e-10
1.110e+1, -2.353e-10
1.120e+1, -2.348e-10
1.130e+1, -2.343e-10
1.140e+1, -2.340e-10
1.150e+1, -2.337e-10
1.160e+1, -2.334e-10
1.170e+1, -2.330e-10
1.180e+1, -2.327e-10
1.190e+1, -2.326e-10
1.200e+1, -2.327e-10
1.210e+1, -2.326e-10
1.220e+1, -2.325e-10
1.230e+1, -2.322e-10
1.240e+1, -2.318e-10
1.250e+1, -2.314e-10
1.260e+1, -2.312e-10
1.270e+1, -2.312e-10
1.280e+1, -2.312e-10
1.290e+1, -2.310e-10
1.300e+1, -2.308e-10
