Mar. 16, 2023   09:43:40
Cyclic Voltammetry
File: c:/users/oliverrz/desktop/electrolab/data/2023_03_16\fcmeoh_macros_750_um\electrode1_cv_250mvs_750_um.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CV
Note: 

Init E (V) = -0.2
High E (V) = 0.3
Low E (V) = -0.2
Final E (V) = -0.2
Init P/N = P
Scan Rate (V/s) = 0.25
Segment = 3
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7

Results:

Channel 1:
Segment 1:

Segment 2:

Segment 3:

Potential/V, Current/A

-0.200, 4.950e-7
-0.199, 4.805e-7
-0.198, 4.791e-7
-0.197, 4.789e-7
-0.196, 4.787e-7
-0.195, 4.791e-7
-0.194, 4.790e-7
-0.193, 4.791e-7
-0.192, 4.791e-7
-0.191, 4.793e-7
-0.190, 4.791e-7
-0.189, 4.793e-7
-0.188, 4.791e-7
-0.187, 4.792e-7
-0.186, 4.790e-7
-0.185, 4.788e-7
-0.184, 4.787e-7
-0.183, 4.784e-7
-0.182, 4.783e-7
-0.181, 4.781e-7
-0.180, 4.776e-7
-0.179, 4.776e-7
-0.178, 4.773e-7
-0.177, 4.768e-7
-0.176, 4.767e-7
-0.175, 4.761e-7
-0.174, 4.759e-7
-0.173, 4.756e-7
-0.172, 4.749e-7
-0.171, 4.747e-7
-0.170, 4.743e-7
-0.169, 4.738e-7
-0.168, 4.734e-7
-0.167, 4.727e-7
-0.166, 4.726e-7
-0.165, 4.721e-7
-0.164, 4.713e-7
-0.163, 4.710e-7
-0.162, 4.706e-7
-0.161, 4.700e-7
-0.160, 4.696e-7
-0.159, 4.689e-7
-0.158, 4.686e-7
-0.157, 4.680e-7
-0.156, 4.674e-7
-0.155, 4.669e-7
-0.154, 4.663e-7
-0.153, 4.659e-7
-0.152, 4.654e-7
-0.151, 4.645e-7
-0.150, 4.641e-7
-0.149, 4.638e-7
-0.148, 4.629e-7
-0.147, 4.625e-7
-0.146, 4.619e-7
-0.145, 4.614e-7
-0.144, 4.609e-7
-0.143, 4.601e-7
-0.142, 4.595e-7
-0.141, 4.591e-7
-0.140, 4.583e-7
-0.139, 4.578e-7
-0.138, 4.572e-7
-0.137, 4.567e-7
-0.136, 4.562e-7
-0.135, 4.554e-7
-0.134, 4.548e-7
-0.133, 4.545e-7
-0.132, 4.536e-7
-0.131, 4.533e-7
-0.130, 4.524e-7
-0.129, 4.519e-7
-0.128, 4.515e-7
-0.127, 4.507e-7
-0.126, 4.502e-7
-0.125, 4.496e-7
-0.124, 4.490e-7
-0.123, 4.485e-7
-0.122, 4.477e-7
-0.121, 4.471e-7
-0.120, 4.468e-7
-0.119, 4.460e-7
-0.118, 4.454e-7
-0.117, 4.448e-7
-0.116, 4.443e-7
-0.115, 4.437e-7
-0.114, 4.430e-7
-0.113, 4.423e-7
-0.112, 4.420e-7
-0.111, 4.412e-7
-0.110, 4.407e-7
-0.109, 4.400e-7
-0.108, 4.395e-7
-0.107, 4.390e-7
-0.106, 4.383e-7
-0.105, 4.376e-7
-0.104, 4.372e-7
-0.103, 4.365e-7
-0.102, 4.359e-7
-0.101, 4.353e-7
-0.100, 4.346e-7
-0.099, 4.343e-7
-0.098, 4.336e-7
-0.097, 4.328e-7
-0.096, 4.323e-7
-0.095, 4.318e-7
-0.094, 4.311e-7
-0.093, 4.304e-7
-0.092, 4.297e-7
-0.091, 4.294e-7
-0.090, 4.287e-7
-0.089, 4.279e-7
-0.088, 4.274e-7
-0.087, 4.268e-7
-0.086, 4.263e-7
