May 25, 2023   23:21:39
Amperometric i-t Curve
File: c:/users/mapence2/desktop/data/2023_05_24\expt5\mix_9\it_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CA
Note: 

Init E (V) = 0.7
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, -3.536e-10
2.000e-1, -3.475e-10
3.000e-1, -3.418e-10
4.000e-1, -3.368e-10
5.000e-1, -3.320e-10
6.000e-1, -3.279e-10
7.000e-1, -3.241e-10
8.000e-1, -3.203e-10
9.000e-1, -3.170e-10
1.000e+0, -3.137e-10
1.100e+0, -3.107e-10
1.200e+0, -3.077e-10
1.300e+0, -3.050e-10
1.400e+0, -3.025e-10
1.500e+0, -3.001e-10
1.600e+0, -2.978e-10
1.700e+0, -2.956e-10
1.800e+0, -2.935e-10
1.900e+0, -2.916e-10
2.000e+0, -2.898e-10
2.100e+0, -2.880e-10
2.200e+0, -2.863e-10
2.300e+0, -2.847e-10
2.400e+0, -2.833e-10
2.500e+0, -2.820e-10
2.600e+0, -2.805e-10
2.700e+0, -2.790e-10
2.800e+0, -2.777e-10
2.900e+0, -2.764e-10
3.000e+0, -2.751e-10
3.100e+0, -2.738e-10
3.200e+0, -2.727e-10
3.300e+0, -2.716e-10
3.400e+0, -2.706e-10
3.500e+0, -2.696e-10
3.600e+0, -2.685e-10
3.700e+0, -2.676e-10
3.800e+0, -2.667e-10
3.900e+0, -2.658e-10
4.000e+0, -2.649e-10
4.100e+0, -2.641e-10
4.200e+0, -2.633e-10
4.300e+0, -2.625e-10
4.400e+0, -2.617e-10
4.500e+0, -2.609e-10
4.600e+0, -2.603e-10
4.700e+0, -2.596e-10
4.800e+0, -2.589e-10
4.900e+0, -2.583e-10
5.000e+0, -2.576e-10
5.100e+0, -2.570e-10
5.200e+0, -2.564e-10
5.300e+0, -2.558e-10
5.400e+0, -2.553e-10
5.500e+0, -2.547e-10
5.600e+0, -2.541e-10
5.700e+0, -2.537e-10
5.800e+0, -2.532e-10
5.900e+0, -2.527e-10
6.000e+0, -2.522e-10
6.100e+0, -2.517e-10
6.200e+0, -2.512e-10
6.300e+0, -2.507e-10
6.400e+0, -2.503e-10
6.500e+0, -2.498e-10
6.600e+0, -2.494e-10
6.700e+0, -2.490e-10
6.800e+0, -2.485e-10
6.900e+0, -2.481e-10
7.000e+0, -2.477e-10
7.100e+0, -2.473e-10
7.200e+0, -2.469e-10
7.300e+0, -2.465e-10
7.400e+0, -2.461e-10
7.500e+0, -2.457e-10
7.600e+0, -2.454e-10
7.700e+0, -2.451e-10
7.800e+0, -2.447e-10
7.900e+0, -2.444e-10
8.000e+0, -2.440e-10
8.100e+0, -2.437e-10
8.200e+0, -2.433e-10
8.300e+0, -2.430e-10
8.400e+0, -2.427e-10
8.500e+0, -2.423e-10
8.600e+0, -2.422e-10
8.700e+0, -2.418e-10
8.800e+0, -2.415e-10
8.900e+0, -2.413e-10
9.000e+0, -2.409e-10
9.100e+0, -2.407e-10
9.200e+0, -2.403e-10
9.300e+0, -2.401e-10
9.400e+0, -2.398e-10
9.500e+0, -2.395e-10
9.600e+0, -2.392e-10
9.700e+0, -2.390e-10
9.800e+0, -2.387e-10
9.900e+0, -2.385e-10
1.000e+1, -2.382e-10
1.010e+1, -2.380e-10
1.020e+1, -2.377e-10
1.030e+1, -2.375e-10
1.040e+1, -2.373e-10
1.050e+1, -2.371e-10
1.060e+1, -2.369e-10
1.070e+1, -2.366e-10
1.080e+1, -2.364e-10
1.090e+1, -2.362e-10
1.100e+1, -2.360e-10
1.110e+1, -2.357e-10
1.120e+1, -2.352e-10
1.130e+1, -2.350e-10
1.140e+1, -2.347e-10
1.150e+1, -2.345e-10
1.160e+1, -2.343e-10
1.170e+1, -2.341e-10
1.180e+1, -2.341e-10
1.190e+1, -2.339e-10
1.200e+1, -2.335e-10
1.210e+1, -2.332e-10
1.220e+1, -2.328e-10
1.230e+1, -2.325e-10
1.240e+1, -2.322e-10
1.250e+1, -2.320e-10
1.260e+1, -2.319e-10
1.270e+1, -2.316e-10
1.280e+1, -2.315e-10
1.290e+1, -2.312e-10
1.300e+1, -2.310e-10
1.310e+1, -2.308e-10
1.320e+1, -2.306e-10
1.330e+1, -2.303e-10
1.340e+1, -2.301e-10
1.350e+1, -2.299e-10
1.360e+1, -2.298e-10
1.370e+1, -2.297e-10
1.380e+1, -2.295e-10
1.390e+1, -2.293e-10
1.400e+1, -2.294e-10
1.410e+1, -2.294e-10
1.420e+1, -2.293e-10
1.430e+1, -2.291e-10
1.440e+1, -2.290e-10
1.450e+1, -2.289e-10
1.460e+1, -2.287e-10
1.470e+1, -2.284e-10
1.480e+1, -2.282e-10
1.490e+1, -2.282e-10
1.500e+1, -2.281e-10
1.510e+1, -2.280e-10
1.520e+1, -2.279e-10
1.530e+1, -2.280e-10
1.540e+1, -2.282e-10
1.550e+1, -2.284e-10
1.560e+1, -2.287e-10
