May 24, 2023   23:19:05
Cyclic Voltammetry
File: c:/users/mapence2/desktop/data/2023_05_24\expt2\mix_8\cv_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CV
Note: 

Init E (V) = 0
High E (V) = 0.7
Low E (V) = 0
Final E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.005
Segment = 3
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:
Segment 1:

Segment 2:

Segment 3:

Potential/V, Current/A

0.000, 5.819e-12
0.001, 4.449e-12
0.002, 3.576e-12
0.003, 2.962e-12
0.004, 2.371e-12
0.005, 1.804e-12
0.006, 1.418e-12
0.007, 1.088e-12
0.008, 7.695e-13
0.009, 5.403e-13
0.010, 2.961e-13
0.011, 1.095e-13
0.012, 4.410e-14
0.013, -1.024e-14
0.014, -1.756e-13
0.015, -2.607e-13
0.016, -2.812e-13
0.017, -3.725e-13
0.018, -3.977e-13
0.019, -4.300e-13
0.020, -4.544e-13
0.021, -4.938e-13
0.022, -5.348e-13
0.023, -5.600e-13
0.024, -5.868e-13
0.025, -6.891e-13
0.026, -7.041e-13
0.027, -7.128e-13
0.028, -7.931e-13
0.029, -7.718e-13
0.030, -8.136e-13
0.031, -8.726e-13
0.032, -8.994e-13
0.033, -9.609e-13
0.034, -9.837e-13
0.035, -1.027e-12
0.036, -1.096e-12
0.037, -1.132e-12
0.038, -1.136e-12
0.039, -1.225e-12
0.040, -1.230e-12
0.041, -1.240e-12
0.042, -1.334e-12
0.043, -1.352e-12
0.044, -1.400e-12
0.045, -1.401e-12
0.046, -1.474e-12
0.047, -1.458e-12
0.048, -1.507e-12
0.049, -1.548e-12
0.050, -1.610e-12
0.051, -1.693e-12
0.052, -1.814e-12
0.053, -1.852e-12
0.054, -1.851e-12
0.055, -2.276e-12
0.056, -2.041e-12
0.057, -1.811e-12
0.058, -1.901e-12
0.059, -1.977e-12
0.060, -1.961e-12
0.061, -2.026e-12
0.062, -2.067e-12
0.063, -2.059e-12
0.064, -2.020e-12
0.065, -2.054e-12
0.066, -2.111e-12
0.067, -2.143e-12
0.068, -2.192e-12
0.069, -2.231e-12
0.070, -2.262e-12
0.071, -2.350e-12
0.072, -2.407e-12
0.073, -2.458e-12
0.074, -2.493e-12
0.075, -2.629e-12
0.076, -2.611e-12
0.077, -2.609e-12
0.078, -2.646e-12
0.079, -2.643e-12
0.080, -2.683e-12
0.081, -2.700e-12
0.082, -2.756e-12
0.083, -2.803e-12
0.084, -2.835e-12
0.085, -2.864e-12
0.086, -2.904e-12
0.087, -2.926e-12
0.088, -2.954e-12
0.089, -3.015e-12
0.090, -3.083e-12
0.091, -3.071e-12
0.092, -3.137e-12
0.093, -3.163e-12
0.094, -3.232e-12
0.095, -3.239e-12
0.096, -3.276e-12
0.097, -3.317e-12
0.098, -3.359e-12
0.099, -3.428e-12
0.100, -3.466e-12
0.101, -3.517e-12
0.102, -3.584e-12
0.103, -3.670e-12
0.104, -3.679e-12
0.105, -3.687e-12
0.106, -3.758e-12
0.107, -3.758e-12
0.108, -3.773e-12
0.109, -3.817e-12
0.110, -3.882e-12
0.111, -3.956e-12
0.112, -3.998e-12
0.113, -3.983e-12
0.114, -4.047e-12
0.115, -4.095e-12
0.116, -4.106e-12
0.117, -4.154e-12
0.118, -4.226e-12
0.119, -4.275e-12
0.120, -4.315e-12
0.121, -4.375e-12
0.122, -4.394e-12
0.123, -4.467e-12
0.124, -4.496e-12
0.125, -4.540e-12
0.126, -4.588e-12
0.127, -4.644e-12
0.128, -4.692e-12
0.129, -4.758e-12
0.130, -4.818e-12
0.131, -4.857e-12
0.132, -4.879e-12
0.133, -4.942e-12
0.134, -4.983e-12
0.135, -5.041e-12
0.136, -5.041e-12
0.137, -5.132e-12
0.138, -5.176e-12
0.139, -5.143e-12
0.140, -5.195e-12
0.141, -5.300e-12
0.142, -5.439e-12
0.143, -5.463e-12
0.144, -5.440e-12
0.145, -5.523e-12
0.146, -5.571e-12
0.147, -5.629e-12
0.148, -5.715e-12
0.149, -5.787e-12
0.150, -5.865e-12
0.151, -5.904e-12
0.152, -5.941e-12
0.153, -5.994e-12
0.154, -6.003e-12
0.155, -6.082e-12
0.156, -6.137e-12
0.157, -6.201e-12
