May 24, 2023   23:41:53
Amperometric i-t Curve
File: c:/users/mapence2/desktop/data/2023_05_24\expt2\mix_9\it_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CA
Note: 

Init E (V) = 0.7
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, -3.885e-10
2.000e-1, -3.829e-10
3.000e-1, -3.782e-10
4.000e-1, -3.739e-10
5.000e-1, -3.696e-10
6.000e-1, -3.657e-10
7.000e-1, -3.621e-10
8.000e-1, -3.588e-10
9.000e-1, -3.558e-10
1.000e+0, -3.527e-10
1.100e+0, -3.497e-10
1.200e+0, -3.469e-10
1.300e+0, -3.444e-10
1.400e+0, -3.419e-10
1.500e+0, -3.395e-10
1.600e+0, -3.375e-10
1.700e+0, -3.356e-10
1.800e+0, -3.337e-10
1.900e+0, -3.317e-10
2.000e+0, -3.297e-10
2.100e+0, -3.279e-10
2.200e+0, -3.261e-10
2.300e+0, -3.247e-10
2.400e+0, -3.232e-10
2.500e+0, -3.217e-10
2.600e+0, -3.203e-10
2.700e+0, -3.190e-10
2.800e+0, -3.177e-10
2.900e+0, -3.166e-10
3.000e+0, -3.154e-10
3.100e+0, -3.143e-10
3.200e+0, -3.133e-10
3.300e+0, -3.124e-10
3.400e+0, -3.113e-10
3.500e+0, -3.104e-10
3.600e+0, -3.095e-10
3.700e+0, -3.086e-10
3.800e+0, -3.076e-10
3.900e+0, -3.068e-10
4.000e+0, -3.059e-10
4.100e+0, -3.050e-10
4.200e+0, -3.043e-10
4.300e+0, -3.033e-10
4.400e+0, -3.025e-10
4.500e+0, -3.018e-10
4.600e+0, -3.009e-10
4.700e+0, -3.003e-10
4.800e+0, -2.996e-10
4.900e+0, -2.990e-10
5.000e+0, -2.985e-10
5.100e+0, -2.980e-10
5.200e+0, -2.975e-10
5.300e+0, -2.970e-10
5.400e+0, -2.965e-10
5.500e+0, -2.962e-10
5.600e+0, -2.958e-10
5.700e+0, -2.952e-10
5.800e+0, -2.949e-10
5.900e+0, -2.944e-10
6.000e+0, -2.941e-10
6.100e+0, -2.938e-10
6.200e+0, -2.934e-10
6.300e+0, -2.930e-10
6.400e+0, -2.926e-10
6.500e+0, -2.921e-10
6.600e+0, -2.917e-10
6.700e+0, -2.912e-10
6.800e+0, -2.909e-10
6.900e+0, -2.905e-10
7.000e+0, -2.900e-10
7.100e+0, -2.896e-10
7.200e+0, -2.892e-10
7.300e+0, -2.888e-10
7.400e+0, -2.885e-10
7.500e+0, -2.880e-10
7.600e+0, -2.876e-10
7.700e+0, -2.872e-10
7.800e+0, -2.868e-10
7.900e+0, -2.863e-10
8.000e+0, -2.858e-10
