May 24, 2023   21:48:34
Cyclic Voltammetry
File: c:/users/mapence2/desktop/data/2023_05_24\expt2\mix_4\cv_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CV
Note: 

Init E (V) = 0
High E (V) = 0.7
Low E (V) = 0
Final E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.005
Segment = 3
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:
Segment 1:

Segment 2:

Segment 3:

Potential/V, Current/A

0.000, 2.547e-12
0.001, 1.919e-12
0.002, 1.496e-12
0.003, 1.295e-12
0.004, 1.162e-12
0.005, 9.506e-13
0.006, 8.892e-13
0.007, 8.065e-13
0.008, 7.073e-13
0.009, 5.230e-13
0.010, 4.064e-13
0.011, 3.410e-13
0.012, 2.922e-13
0.013, 2.355e-13
0.014, 4.725e-15
0.015, -6.458e-14
0.016, -5.513e-14
0.017, -9.530e-14
0.018, -1.882e-13
0.019, -2.615e-13
0.020, -2.607e-13
0.021, -3.040e-13
0.022, -4.064e-13
0.023, -4.529e-13
0.024, -4.607e-13
0.025, -5.253e-13
0.026, -6.064e-13
0.027, -6.049e-13
0.028, -7.451e-13
0.029, -7.616e-13
0.030, -7.246e-13
0.031, -8.671e-13
0.032, -1.001e-12
0.033, -8.663e-13
0.034, -9.427e-13
0.035, -9.727e-13
0.036, -9.805e-13
0.037, -9.451e-13
0.038, -1.080e-12
0.039, -1.228e-12
0.040, -1.243e-12
0.041, -1.114e-12
0.042, -1.232e-12
0.043, -1.307e-12
0.044, -1.303e-12
0.045, -1.321e-12
0.046, -1.366e-12
0.047, -1.424e-12
0.048, -1.466e-12
0.049, -1.540e-12
0.050, -1.563e-12
0.051, -1.600e-12
0.052, -1.641e-12
0.053, -1.750e-12
0.054, -1.811e-12
0.055, -1.770e-12
0.056, -1.810e-12
0.057, -2.017e-12
0.058, -1.988e-12
0.059, -1.891e-12
0.060, -1.900e-12
0.061, -1.938e-12
0.062, -1.965e-12
0.063, -2.051e-12
0.064, -2.079e-12
0.065, -2.176e-12
0.066, -2.131e-12
0.067, -2.152e-12
0.068, -2.223e-12
0.069, -2.255e-12
0.070, -2.324e-12
0.071, -2.306e-12
0.072, -2.385e-12
0.073, -2.490e-12
0.074, -2.453e-12
0.075, -2.489e-12
0.076, -2.548e-12
0.077, -2.591e-12
0.078, -2.602e-12
0.079, -2.642e-12
0.080, -2.723e-12
0.081, -2.864e-12
