May 24, 2023   22:11:12
Cyclic Voltammetry
File: c:/users/mapence2/desktop/data/2023_05_24\expt2\mix_5\cv_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CV
Note: 

Init E (V) = 0
High E (V) = 0.7
Low E (V) = 0
Final E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.005
Segment = 3
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:
Segment 1:

Segment 2:

Segment 3:

Potential/V, Current/A

0.000, 3.400e-12
0.001, 2.809e-12
0.002, 2.327e-12
0.003, 2.053e-12
0.004, 1.820e-12
0.005, 1.720e-12
0.006, 1.508e-12
0.007, 1.316e-12
0.008, 1.118e-12
0.009, 1.054e-12
0.010, 1.021e-12
0.011, 8.884e-13
0.012, 6.734e-13
0.013, 6.624e-13
0.014, 5.489e-13
0.015, 4.363e-13
0.016, 3.843e-13
0.017, 3.284e-13
0.018, 2.048e-13
0.019, 3.387e-14
0.020, 1.473e-13
0.021, 1.244e-13
0.022, 4.174e-14
0.023, -1.166e-13
0.024, -1.418e-13
0.025, -1.032e-13
0.026, -2.331e-13
0.027, -2.189e-13
0.028, -3.150e-13
0.029, -3.678e-13
0.030, -4.284e-13
0.031, -4.387e-13
0.032, -5.742e-13
0.033, -6.033e-13
0.034, -5.828e-13
0.035, -6.183e-13
0.036, -6.844e-13
0.037, -6.939e-13
0.038, -7.655e-13
0.039, -7.734e-13
0.040, -7.978e-13
0.041, -9.018e-13
0.042, -1.002e-12
0.043, -1.009e-12
0.044, -1.021e-12
0.045, -1.008e-12
0.046, -1.020e-12
0.047, -1.100e-12
0.048, -1.155e-12
0.049, -1.143e-12
0.050, -1.187e-12
0.051, -1.234e-12
0.052, -1.281e-12
0.053, -1.358e-12
0.054, -1.463e-12
0.055, -1.441e-12
0.056, -1.411e-12
0.057, -1.492e-12
0.058, -1.585e-12
0.059, -1.606e-12
0.060, -1.690e-12
0.061, -1.712e-12
0.062, -1.819e-12
0.063, -1.785e-12
0.064, -1.771e-12
0.065, -2.017e-12
0.066, -1.942e-12
0.067, -1.913e-12
0.068, -1.910e-12
0.069, -1.987e-12
0.070, -2.030e-12
0.071, -1.989e-12
0.072, -2.051e-12
0.073, -2.100e-12
0.074, -2.149e-12
0.075, -2.175e-12
0.076, -2.133e-12
0.077, -2.299e-12
0.078, -2.308e-12
0.079, -2.310e-12
0.080, -2.397e-12
0.081, -2.487e-12
0.082, -2.507e-12
0.083, -2.490e-12
0.084, -2.538e-12
0.085, -2.670e-12
0.086, -2.644e-12
0.087, -2.693e-12
0.088, -2.714e-12
0.089, -2.642e-12
0.090, -2.675e-12
0.091, -2.781e-12
0.092, -2.972e-12
0.093, -2.875e-12
0.094, -2.787e-12
0.095, -2.848e-12
0.096, -2.942e-12
0.097, -2.973e-12
0.098, -3.024e-12
0.099, -3.061e-12
0.100, -3.083e-12
0.101, -3.135e-12
0.102, -3.213e-12
0.103, -3.250e-12
0.104, -3.255e-12
0.105, -3.339e-12
0.106, -3.383e-12
0.107, -3.398e-12
0.108, -3.443e-12
0.109, -3.491e-12
0.110, -3.550e-12
0.111, -3.616e-12
0.112, -3.654e-12
0.113, -3.654e-12
0.114, -3.691e-12
0.115, -3.677e-12
0.116, -3.825e-12
0.117, -3.884e-12
0.118, -3.947e-12
0.119, -3.968e-12
0.120, -3.978e-12
0.121, -3.994e-12
0.122, -3.925e-12
0.123, -4.025e-12
0.124, -4.137e-12
0.125, -4.155e-12
0.126, -4.209e-12
0.127, -4.239e-12
0.128, -4.290e-12
0.129, -4.351e-12
0.130, -4.408e-12
0.131, -4.428e-12
0.132, -4.433e-12
0.133, -4.519e-12
0.134, -4.607e-12
0.135, -4.698e-12
0.136, -4.703e-12
0.137, -4.737e-12
0.138, -4.866e-12
0.139, -4.947e-12
0.140, -4.957e-12
0.141, -4.941e-12
0.142, -4.938e-12
0.143, -4.964e-12
0.144, -5.070e-12
0.145, -5.133e-12
0.146, -5.255e-12
0.147, -5.191e-12
0.148, -5.258e-12
0.149, -5.333e-12
0.150, -5.359e-12
0.151, -5.519e-12
0.152, -5.516e-12
0.153, -5.504e-12
0.154, -5.571e-12
0.155, -5.672e-12
0.156, -5.720e-12
0.157, -5.704e-12
0.158, -5.767e-12
0.159, -5.821e-12
0.160, -5.904e-12
0.161, -5.947e-12
0.162, -6.060e-12
0.163, -6.044e-12
0.164, -6.140e-12
0.165, -6.220e-12
0.166, -6.275e-12
0.167, -6.312e-12
0.168, -6.335e-12
0.169, -6.422e-12
0.170, -6.529e-12
0.171, -6.493e-12
0.172, -6.575e-12
0.173, -6.669e-12
0.174, -6.987e-12
0.175, -6.950e-12
0.176, -6.861e-12
0.177, -6.935e-12
0.178, -6.971e-12
0.179, -7.097e-12
0.180, -7.163e-12
0.181, -7.244e-12
0.182, -7.300e-12
0.183, -7.403e-12
0.184, -7.426e-12
0.185, -7.514e-12
0.186, -7.581e-12
0.187, -7.602e-12
0.188, -7.701e-12
0.189, -7.780e-12
0.190, -7.892e-12
0.191, -7.955e-12
0.192, -8.012e-12
0.193, -8.179e-12
0.194, -8.171e-12
0.195, -8.177e-12
0.196, -8.289e-12
0.197, -8.441e-12
0.198, -8.419e-12
0.199, -8.429e-12
0.200, -8.522e-12
0.201, -8.643e-12
0.202, -8.669e-12
0.203, -8.787e-12
0.204, -8.922e-12
0.205, -9.116e-12
0.206, -9.115e-12
0.207, -9.077e-12
0.208, -9.229e-12
0.209, -9.260e-12
0.210, -9.381e-12
0.211, -9.457e-12
0.212, -9.657e-12
0.213, -9.777e-12
0.214, -9.844e-12
0.215, -9.916e-12
0.216, -9.961e-12
0.217, -9.987e-12
0.218, -1.006e-11
0.219, -1.023e-11
0.220, -1.021e-11
0.221, -1.023e-11
0.222, -1.034e-11
0.223, -1.048e-11
0.224, -1.057e-11
0.225, -1.066e-11
0.226, -1.079e-11
0.227, -1.082e-11
0.228, -1.088e-11
0.229, -1.094e-11
0.230, -1.115e-11
0.231, -1.125e-11
0.232, -1.123e-11
0.233, -1.131e-11
0.234, -1.138e-11
0.235, -1.143e-11
0.236, -1.152e-11
0.237, -1.158e-11
0.238, -1.177e-11
0.239, -1.194e-11
0.240, -1.203e-11
0.241, -1.207e-11
0.242, -1.214e-11
0.243, -1.217e-11
0.244, -1.231e-11
0.245, -1.253e-11
0.246, -1.258e-11
0.247, -1.268e-11
0.248, -1.283e-11
0.249, -1.292e-11
0.250, -1.301e-11
0.251, -1.311e-11
0.252, -1.320e-11
0.253, -1.332e-11
0.254, -1.342e-11
0.255, -1.351e-11
0.256, -1.362e-11
0.257, -1.375e-11
0.258, -1.385e-11
0.259, -1.397e-11
0.260, -1.406e-11
0.261, -1.414e-11
0.262, -1.423e-11
0.263, -1.438e-11
0.264, -1.453e-11
0.265, -1.459e-11
0.266, -1.483e-11
0.267, -1.494e-11
0.268, -1.503e-11
0.269, -1.523e-11
0.270, -1.533e-11
0.271, -1.538e-11
0.272, -1.549e-11
0.273, -1.560e-11
0.274, -1.570e-11
0.275, -1.584e-11
0.276, -1.582e-11
0.277, -1.594e-11
0.278, -1.615e-11
0.279, -1.632e-11
0.280, -1.654e-11
