May 25, 2023   13:00:31
Cyclic Voltammetry
File: c:/users/mapence2/desktop/data/2023_05_24\expt3\mix_3\cv_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CV
Note: 

Init E (V) = 0
High E (V) = 0.7
Low E (V) = 0
Final E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.005
Segment = 3
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:
Segment 1:

Segment 2:

Segment 3:

Potential/V, Current/A

0.000, 2.846e-11
0.001, 2.614e-11
0.002, 2.456e-11
0.003, 2.301e-11
0.004, 2.171e-11
0.005, 2.056e-11
0.006, 1.964e-11
0.007, 1.875e-11
0.008, 1.787e-11
0.009, 1.713e-11
0.010, 1.652e-11
0.011, 1.588e-11
0.012, 1.534e-11
0.013, 1.477e-11
0.014, 1.421e-11
0.015, 1.377e-11
0.016, 1.332e-11
0.017, 1.288e-11
0.018, 1.248e-11
0.019, 1.208e-11
0.020, 1.177e-11
0.021, 1.134e-11
0.022, 1.093e-11
0.023, 1.061e-11
0.024, 1.021e-11
0.025, 9.820e-12
0.026, 9.547e-12
0.027, 9.401e-12
0.028, 9.175e-12
0.029, 8.815e-12
0.030, 8.607e-12
0.031, 8.368e-12
0.032, 8.066e-12
0.033, 7.672e-12
0.034, 7.457e-12
0.035, 7.280e-12
0.036, 6.999e-12
0.037, 6.755e-12
0.038, 6.483e-12
0.039, 6.303e-12
0.040, 5.975e-12
0.041, 5.645e-12
0.042, 5.432e-12
0.043, 5.149e-12
0.044, 4.931e-12
0.045, 4.660e-12
0.046, 4.441e-12
0.047, 4.221e-12
0.048, 4.080e-12
0.049, 3.867e-12
0.050, 3.680e-12
0.051, 3.424e-12
0.052, 3.162e-12
0.053, 2.983e-12
0.054, 2.758e-12
0.055, 2.566e-12
0.056, 2.367e-12
0.057, 2.141e-12
0.058, 1.946e-12
0.059, 1.763e-12
0.060, 1.602e-12
0.061, 1.467e-12
0.062, 1.222e-12
0.063, 9.798e-13
0.064, 6.482e-13
0.065, 4.410e-13
0.066, 3.434e-13
0.067, 7.876e-14
0.068, -1.166e-13
0.069, -2.969e-13
0.070, -3.899e-13
0.071, -6.033e-13
0.072, -8.112e-13
0.073, -1.000e-12
0.074, -1.208e-12
0.075, -1.485e-12
0.076, -1.630e-12
0.077, -1.722e-12
0.078, -1.965e-12
0.079, -2.163e-12
0.080, -2.312e-12
0.081, -2.515e-12
0.082, -2.692e-12
0.083, -2.957e-12
0.084, -3.197e-12
0.085, -3.341e-12
0.086, -3.567e-12
0.087, -3.779e-12
0.088, -3.979e-12
0.089, -4.160e-12
0.090, -4.317e-12
0.091, -4.509e-12
0.092, -4.687e-12
0.093, -4.900e-12
0.094, -5.122e-12
0.095, -5.300e-12
0.096, -5.493e-12
0.097, -5.687e-12
0.098, -5.850e-12
0.099, -6.113e-12
0.100, -6.358e-12
0.101, -6.566e-12
0.102, -6.745e-12
0.103, -6.961e-12
0.104, -7.145e-12
0.105, -7.444e-12
0.106, -7.546e-12
0.107, -7.676e-12
0.108, -7.963e-12
0.109, -8.209e-12
0.110, -8.341e-12
0.111, -8.517e-12
0.112, -8.653e-12
0.113, -8.862e-12
0.114, -9.100e-12
0.115, -9.483e-12
0.116, -9.821e-12
0.117, -9.730e-12
0.118, -9.853e-12
0.119, -1.015e-11
0.120, -1.032e-11
0.121, -1.040e-11
0.122, -1.059e-11
0.123, -1.087e-11
0.124, -1.106e-11
0.125, -1.126e-11
0.126, -1.146e-11
0.127, -1.166e-11
0.128, -1.183e-11
0.129, -1.210e-11
0.130, -1.234e-11
0.131, -1.255e-11
0.132, -1.284e-11
0.133, -1.295e-11
0.134, -1.315e-11
0.135, -1.329e-11
0.136, -1.352e-11
0.137, -1.385e-11
0.138, -1.401e-11
0.139, -1.419e-11
0.140, -1.442e-11
0.141, -1.468e-11
0.142, -1.489e-11
0.143, -1.508e-11
0.144, -1.530e-11
0.145, -1.554e-11
0.146, -1.573e-11
0.147, -1.599e-11
0.148, -1.622e-11
0.149, -1.651e-11
0.150, -1.674e-11
0.151, -1.694e-11
0.152, -1.720e-11
0.153, -1.742e-11
0.154, -1.761e-11
0.155, -1.783e-11
0.156, -1.806e-11
0.157, -1.827e-11
0.158, -1.850e-11
0.159, -1.875e-11
0.160, -1.902e-11
0.161, -1.919e-11
0.162, -1.935e-11
0.163, -1.964e-11
0.164, -1.994e-11
0.165, -2.018e-11
0.166, -2.043e-11
0.167, -2.067e-11
0.168, -2.093e-11
