May 25, 2023   20:43:09
Cyclic Voltammetry
File: c:/users/mapence2/desktop/data/2023_05_24\expt5\mix_2\cv_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CV
Note: 

Init E (V) = 0
High E (V) = 0.7
Low E (V) = 0
Final E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.005
Segment = 3
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:
Segment 1:

Segment 2:

Segment 3:

Potential/V, Current/A

0.000, 1.388e-11
0.001, 1.186e-11
0.002, 1.032e-11
0.003, 9.142e-12
0.004, 8.129e-12
0.005, 7.336e-12
0.006, 6.646e-12
0.007, 6.029e-12
0.008, 5.487e-12
0.009, 4.998e-12
0.010, 4.597e-12
0.011, 4.266e-12
0.012, 3.926e-12
0.013, 3.584e-12
0.014, 3.313e-12
0.015, 2.987e-12
0.016, 2.753e-12
0.017, 2.542e-12
0.018, 2.380e-12
0.019, 2.322e-12
0.020, 2.195e-12
0.021, 1.994e-12
0.022, 1.873e-12
0.023, 1.752e-12
0.024, 1.581e-12
0.025, 1.531e-12
0.026, 1.471e-12
0.027, 1.292e-12
0.028, 1.128e-12
0.029, 1.056e-12
0.030, 1.051e-12
0.031, 9.703e-13
0.032, 9.506e-13
0.033, 9.301e-13
0.034, 8.010e-13
0.035, 7.718e-13
0.036, 7.230e-13
0.037, 6.474e-13
0.038, 6.403e-13
0.039, 6.049e-13
0.040, 5.568e-13
0.041, 5.096e-13
0.042, 5.190e-13
0.043, 3.977e-13
0.044, 3.048e-13
0.045, 3.394e-13
0.046, 3.292e-13
0.047, 2.638e-13
0.048, 2.040e-13
0.049, 1.922e-13
0.050, 1.646e-13
0.051, 1.764e-13
0.052, 1.402e-13
0.053, 7.088e-14
0.054, -2.127e-14
0.055, 6.300e-15
0.056, -7.089e-15
0.057, -4.095e-14
0.058, -1.252e-13
0.059, -1.630e-13
0.060, -1.465e-13
0.061, -1.819e-13
0.062, -1.985e-13
0.063, -2.174e-13
0.064, -2.316e-13
0.065, -2.741e-13
0.066, -3.458e-13
0.067, -3.780e-13
0.068, -4.198e-13
0.069, -4.521e-13
0.070, -5.497e-13
0.071, -5.261e-13
0.072, -5.458e-13
0.073, -5.718e-13
0.074, -6.112e-13
0.075, -6.364e-13
0.076, -6.828e-13
0.077, -7.191e-13
0.078, -7.309e-13
0.079, -8.089e-13
0.080, -8.341e-13
0.081, -8.829e-13
0.082, -8.482e-13
0.083, -9.357e-13
0.084, -9.270e-13
0.085, -9.002e-13
0.086, -9.459e-13
0.087, -1.043e-12
0.088, -1.006e-12
0.089, -1.099e-12
0.090, -1.197e-12
0.091, -1.303e-12
0.092, -1.278e-12
0.093, -1.231e-12
0.094, -1.381e-12
0.095, -1.357e-12
0.096, -1.357e-12
0.097, -1.400e-12
0.098, -1.426e-12
0.099, -1.459e-12
0.100, -1.503e-12
0.101, -1.496e-12
0.102, -1.548e-12
0.103, -1.595e-12
0.104, -1.659e-12
0.105, -1.705e-12
0.106, -1.759e-12
0.107, -1.808e-12
0.108, -1.840e-12
0.109, -1.930e-12
0.110, -1.968e-12
0.111, -2.004e-12
0.112, -2.052e-12
0.113, -2.115e-12
0.114, -2.186e-12
0.115, -2.182e-12
0.116, -2.207e-12
0.117, -2.274e-12
0.118, -2.331e-12
0.119, -2.408e-12
0.120, -2.428e-12
0.121, -2.451e-12
0.122, -2.499e-12
0.123, -2.552e-12
0.124, -2.590e-12
0.125, -2.615e-12
0.126, -2.756e-12
0.127, -2.807e-12
0.128, -2.812e-12
0.129, -2.875e-12
0.130, -2.936e-12
0.131, -2.980e-12
0.132, -3.016e-12
0.133, -3.048e-12
0.134, -3.093e-12
0.135, -3.167e-12
0.136, -3.230e-12
0.137, -3.394e-12
0.138, -3.398e-12
0.139, -3.383e-12
0.140, -3.452e-12
0.141, -3.562e-12
0.142, -3.587e-12
0.143, -3.542e-12
0.144, -3.735e-12
0.145, -3.768e-12
0.146, -3.781e-12
0.147, -3.827e-12
0.148, -3.858e-12
0.149, -3.891e-12
0.150, -3.908e-12
0.151, -3.979e-12
0.152, -4.013e-12
0.153, -4.078e-12
0.154, -4.195e-12
0.155, -4.265e-12
0.156, -4.300e-12
0.157, -4.294e-12
0.158, -4.398e-12
0.159, -4.392e-12
0.160, -4.451e-12
