May 25, 2023   22:59:02
Amperometric i-t Curve
File: c:/users/mapence2/desktop/data/2023_05_24\expt5\mix_8\it_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CA
Note: 

Init E (V) = 0.7
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, -2.520e-10
2.000e-1, -2.463e-10
3.000e-1, -2.411e-10
4.000e-1, -2.369e-10
5.000e-1, -2.331e-10
6.000e-1, -2.296e-10
7.000e-1, -2.259e-10
8.000e-1, -2.219e-10
9.000e-1, -2.188e-10
1.000e+0, -2.160e-10
1.100e+0, -2.136e-10
1.200e+0, -2.112e-10
1.300e+0, -2.089e-10
1.400e+0, -2.068e-10
1.500e+0, -2.049e-10
1.600e+0, -2.038e-10
1.700e+0, -2.036e-10
1.800e+0, -2.033e-10
1.900e+0, -2.027e-10
2.000e+0, -2.020e-10
2.100e+0, -2.009e-10
2.200e+0, -1.994e-10
2.300e+0, -1.979e-10
2.400e+0, -1.965e-10
2.500e+0, -1.953e-10
2.600e+0, -1.938e-10
2.700e+0, -1.923e-10
2.800e+0, -1.910e-10
2.900e+0, -1.896e-10
3.000e+0, -1.883e-10
3.100e+0, -1.871e-10
3.200e+0, -1.863e-10
3.300e+0, -1.856e-10
3.400e+0, -1.847e-10
3.500e+0, -1.839e-10
3.600e+0, -1.829e-10
3.700e+0, -1.822e-10
3.800e+0, -1.813e-10
3.900e+0, -1.807e-10
4.000e+0, -1.800e-10
4.100e+0, -1.795e-10
4.200e+0, -1.791e-10
4.300e+0, -1.786e-10
4.400e+0, -1.778e-10
4.500e+0, -1.771e-10
4.600e+0, -1.764e-10
4.700e+0, -1.757e-10
4.800e+0, -1.749e-10
4.900e+0, -1.740e-10
5.000e+0, -1.733e-10
5.100e+0, -1.726e-10
5.200e+0, -1.720e-10
5.300e+0, -1.716e-10
5.400e+0, -1.714e-10
5.500e+0, -1.708e-10
5.600e+0, -1.701e-10
5.700e+0, -1.697e-10
5.800e+0, -1.693e-10
5.900e+0, -1.689e-10
6.000e+0, -1.687e-10
6.100e+0, -1.682e-10
6.200e+0, -1.676e-10
6.300e+0, -1.672e-10
6.400e+0, -1.666e-10
6.500e+0, -1.660e-10
6.600e+0, -1.655e-10
6.700e+0, -1.651e-10
6.800e+0, -1.647e-10
6.900e+0, -1.642e-10
7.000e+0, -1.638e-10
7.100e+0, -1.635e-10
7.200e+0, -1.633e-10
7.300e+0, -1.631e-10
7.400e+0, -1.630e-10
7.500e+0, -1.628e-10
7.600e+0, -1.627e-10
7.700e+0, -1.625e-10
7.800e+0, -1.625e-10
7.900e+0, -1.622e-10
8.000e+0, -1.621e-10
8.100e+0, -1.621e-10
8.200e+0, -1.618e-10
8.300e+0, -1.615e-10
8.400e+0, -1.614e-10
8.500e+0, -1.611e-10
8.600e+0, -1.607e-10
8.700e+0, -1.605e-10
8.800e+0, -1.603e-10
8.900e+0, -1.600e-10
9.000e+0, -1.598e-10
9.100e+0, -1.595e-10
9.200e+0, -1.593e-10
9.300e+0, -1.590e-10
9.400e+0, -1.588e-10
9.500e+0, -1.585e-10
9.600e+0, -1.583e-10
9.700e+0, -1.581e-10
9.800e+0, -1.579e-10
9.900e+0, -1.576e-10
1.000e+1, -1.574e-10
1.010e+1, -1.573e-10
1.020e+1, -1.570e-10
1.030e+1, -1.569e-10
1.040e+1, -1.568e-10
1.050e+1, -1.565e-10
1.060e+1, -1.565e-10
1.070e+1, -1.564e-10
1.080e+1, -1.563e-10
1.090e+1, -1.562e-10
1.100e+1, -1.561e-10
1.110e+1, -1.560e-10
1.120e+1, -1.559e-10
1.130e+1, -1.558e-10
1.140e+1, -1.558e-10
1.150e+1, -1.558e-10
1.160e+1, -1.557e-10
1.170e+1, -1.555e-10
1.180e+1, -1.554e-10
1.190e+1, -1.553e-10
1.200e+1, -1.552e-10
1.210e+1, -1.550e-10
1.220e+1, -1.550e-10
1.230e+1, -1.549e-10
1.240e+1, -1.548e-10
1.250e+1, -1.547e-10
1.260e+1, -1.546e-10
1.270e+1, -1.546e-10
1.280e+1, -1.544e-10
1.290e+1, -1.542e-10
1.300e+1, -1.540e-10
1.310e+1, -1.538e-10
1.320e+1, -1.536e-10
1.330e+1, -1.532e-10
1.340e+1, -1.529e-10
1.350e+1, -1.528e-10
1.360e+1, -1.527e-10
1.370e+1, -1.525e-10
1.380e+1, -1.525e-10
1.390e+1, -1.524e-10
1.400e+1, -1.522e-10
1.410e+1, -1.519e-10
1.420e+1, -1.518e-10
1.430e+1, -1.518e-10
1.440e+1, -1.519e-10
1.450e+1, -1.517e-10
1.460e+1, -1.518e-10
1.470e+1, -1.520e-10
1.480e+1, -1.519e-10
1.490e+1, -1.519e-10
1.500e+1, -1.518e-10
1.510e+1, -1.518e-10
1.520e+1, -1.519e-10
1.530e+1, -1.519e-10
1.540e+1, -1.517e-10
1.550e+1, -1.519e-10
1.560e+1, -1.518e-10
1.570e+1, -1.515e-10
1.580e+1, -1.511e-10
1.590e+1, -1.509e-10
1.600e+1, -1.507e-10
1.610e+1, -1.502e-10
1.620e+1, -1.499e-10
1.630e+1, -1.495e-10
1.640e+1, -1.490e-10
1.650e+1, -1.486e-10
1.660e+1, -1.482e-10
1.670e+1, -1.481e-10
1.680e+1, -1.480e-10
1.690e+1, -1.477e-10
1.700e+1, -1.475e-10
1.710e+1, -1.472e-10
1.720e+1, -1.470e-10
1.730e+1, -1.468e-10
1.740e+1, -1.468e-10
1.750e+1, -1.468e-10
1.760e+1, -1.468e-10
1.770e+1, -1.467e-10
1.780e+1, -1.467e-10
1.790e+1, -1.467e-10
1.800e+1, -1.467e-10
1.810e+1, -1.466e-10
1.820e+1, -1.466e-10
1.830e+1, -1.466e-10
1.840e+1, -1.465e-10
1.850e+1, -1.464e-10
1.860e+1, -1.463e-10
1.870e+1, -1.462e-10
1.880e+1, -1.462e-10
1.890e+1, -1.462e-10
1.900e+1, -1.461e-10
1.910e+1, -1.459e-10
1.920e+1, -1.458e-10
1.930e+1, -1.456e-10
1.940e+1, -1.456e-10
1.950e+1, -1.456e-10
1.960e+1, -1.456e-10
1.970e+1, -1.456e-10
1.980e+1, -1.457e-10
1.990e+1, -1.458e-10
2.000e+1, -1.460e-10
2.010e+1, -1.463e-10
2.020e+1, -1.465e-10
2.030e+1, -1.468e-10
2.040e+1, -1.470e-10
2.050e+1, -1.474e-10
2.060e+1, -1.475e-10
2.070e+1, -1.475e-10
2.080e+1, -1.474e-10
2.090e+1, -1.474e-10
2.100e+1, -1.474e-10
2.110e+1, -1.472e-10
2.120e+1, -1.472e-10
2.130e+1, -1.472e-10
2.140e+1, -1.471e-10
2.150e+1, -1.469e-10
2.160e+1, -1.465e-10
2.170e+1, -1.461e-10
2.180e+1, -1.458e-10
2.190e+1, -1.455e-10
2.200e+1, -1.454e-10
2.210e+1, -1.452e-10
2.220e+1, -1.451e-10
2.230e+1, -1.451e-10
2.240e+1, -1.450e-10
2.250e+1, -1.450e-10
2.260e+1, -1.449e-10
2.270e+1, -1.449e-10
2.280e+1, -1.451e-10
2.290e+1, -1.451e-10
2.300e+1, -1.452e-10
2.310e+1, -1.450e-10
2.320e+1, -1.449e-10
2.330e+1, -1.448e-10
2.340e+1, -1.447e-10
2.350e+1, -1.446e-10
2.360e+1, -1.445e-10
2.370e+1, -1.443e-10
2.380e+1, -1.441e-10
2.390e+1, -1.440e-10
2.400e+1, -1.440e-10
2.410e+1, -1.440e-10
2.420e+1, -1.439e-10
2.430e+1, -1.439e-10
2.440e+1, -1.439e-10
2.450e+1, -1.438e-10
2.460e+1, -1.437e-10
2.470e+1, -1.437e-10
2.480e+1, -1.437e-10
2.490e+1, -1.438e-10
2.500e+1, -1.438e-10
2.510e+1, -1.438e-10
2.520e+1, -1.439e-10
2.530e+1, -1.439e-10
2.540e+1, -1.438e-10
2.550e+1, -1.437e-10
2.560e+1, -1.436e-10
2.570e+1, -1.436e-10
2.580e+1, -1.434e-10
2.590e+1, -1.434e-10
2.600e+1, -1.433e-10
2.610e+1, -1.433e-10
2.620e+1, -1.433e-10
2.630e+1, -1.433e-10
2.640e+1, -1.433e-10
2.650e+1, -1.432e-10
2.660e+1, -1.432e-10
2.670e+1, -1.430e-10
2.680e+1, -1.430e-10
2.690e+1, -1.430e-10
2.700e+1, -1.430e-10
2.710e+1, -1.429e-10
2.720e+1, -1.428e-10
2.730e+1, -1.426e-10
2.740e+1, -1.426e-10
2.750e+1, -1.425e-10
2.760e+1, -1.424e-10
2.770e+1, -1.422e-10
2.780e+1, -1.422e-10
2.790e+1, -1.421e-10
2.800e+1, -1.420e-10
2.810e+1, -1.421e-10
2.820e+1, -1.421e-10
2.830e+1, -1.422e-10
2.840e+1, -1.421e-10
2.850e+1, -1.421e-10
2.860e+1, -1.421e-10
2.870e+1, -1.419e-10
2.880e+1, -1.418e-10
2.890e+1, -1.419e-10
2.900e+1, -1.420e-10
2.910e+1, -1.419e-10
2.920e+1, -1.419e-10
2.930e+1, -1.419e-10
2.940e+1, -1.418e-10
2.950e+1, -1.417e-10
2.960e+1, -1.417e-10
2.970e+1, -1.416e-10
2.980e+1, -1.416e-10
2.990e+1, -1.416e-10
3.000e+1, -1.416e-10
