May 25, 2023   18:28:02
Amperometric i-t Curve
File: c:/users/mapence2/desktop/data/2023_05_24\expt4\mix_6\it_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CA
Note: 

Init E (V) = 0.7
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, -3.386e-10
2.000e-1, -3.335e-10
3.000e-1, -3.289e-10
4.000e-1, -3.247e-10
5.000e-1, -3.208e-10
6.000e-1, -3.172e-10
7.000e-1, -3.137e-10
8.000e-1, -3.105e-10
9.000e-1, -3.075e-10
1.000e+0, -3.047e-10
1.100e+0, -3.020e-10
1.200e+0, -2.997e-10
1.300e+0, -2.974e-10
1.400e+0, -2.952e-10
1.500e+0, -2.932e-10
1.600e+0, -2.912e-10
1.700e+0, -2.894e-10
1.800e+0, -2.877e-10
1.900e+0, -2.860e-10
2.000e+0, -2.844e-10
2.100e+0, -2.829e-10
2.200e+0, -2.814e-10
2.300e+0, -2.801e-10
2.400e+0, -2.788e-10
2.500e+0, -2.775e-10
2.600e+0, -2.763e-10
2.700e+0, -2.750e-10
2.800e+0, -2.740e-10
2.900e+0, -2.729e-10
3.000e+0, -2.718e-10
3.100e+0, -2.708e-10
3.200e+0, -2.699e-10
3.300e+0, -2.689e-10
3.400e+0, -2.680e-10
3.500e+0, -2.671e-10
3.600e+0, -2.662e-10
3.700e+0, -2.654e-10
3.800e+0, -2.647e-10
3.900e+0, -2.639e-10
4.000e+0, -2.631e-10
4.100e+0, -2.625e-10
4.200e+0, -2.618e-10
4.300e+0, -2.612e-10
4.400e+0, -2.605e-10
4.500e+0, -2.600e-10
4.600e+0, -2.594e-10
4.700e+0, -2.589e-10
4.800e+0, -2.583e-10
4.900e+0, -2.578e-10
5.000e+0, -2.573e-10
5.100e+0, -2.569e-10
5.200e+0, -2.564e-10
5.300e+0, -2.559e-10
5.400e+0, -2.555e-10
5.500e+0, -2.550e-10
5.600e+0, -2.547e-10
5.700e+0, -2.543e-10
5.800e+0, -2.540e-10
5.900e+0, -2.538e-10
6.000e+0, -2.535e-10
6.100e+0, -2.532e-10
6.200e+0, -2.531e-10
6.300e+0, -2.530e-10
6.400e+0, -2.529e-10
6.500e+0, -2.530e-10
6.600e+0, -2.530e-10
6.700e+0, -2.529e-10
6.800e+0, -2.529e-10
6.900e+0, -2.528e-10
7.000e+0, -2.528e-10
7.100e+0, -2.528e-10
7.200e+0, -2.526e-10
7.300e+0, -2.525e-10
7.400e+0, -2.524e-10
7.500e+0, -2.522e-10
7.600e+0, -2.519e-10
7.700e+0, -2.516e-10
7.800e+0, -2.513e-10
7.900e+0, -2.510e-10
8.000e+0, -2.507e-10
8.100e+0, -2.503e-10
8.200e+0, -2.500e-10
8.300e+0, -2.497e-10
8.400e+0, -2.493e-10
8.500e+0, -2.490e-10
8.600e+0, -2.486e-10
8.700e+0, -2.484e-10
8.800e+0, -2.481e-10
8.900e+0, -2.476e-10
9.000e+0, -2.474e-10
9.100e+0, -2.471e-10
9.200e+0, -2.468e-10
9.300e+0, -2.466e-10
9.400e+0, -2.464e-10
9.500e+0, -2.461e-10
9.600e+0, -2.459e-10
9.700e+0, -2.458e-10
9.800e+0, -2.457e-10
9.900e+0, -2.455e-10
1.000e+1, -2.456e-10
1.010e+1, -2.456e-10
1.020e+1, -2.456e-10
1.030e+1, -2.458e-10
1.040e+1, -2.460e-10
1.050e+1, -2.463e-10
1.060e+1, -2.465e-10
1.070e+1, -2.468e-10
1.080e+1, -2.471e-10
1.090e+1, -2.473e-10
1.100e+1, -2.475e-10
1.110e+1, -2.476e-10
1.120e+1, -2.475e-10
1.130e+1, -2.475e-10
1.140e+1, -2.473e-10
1.150e+1, -2.473e-10
1.160e+1, -2.472e-10
1.170e+1, -2.472e-10
1.180e+1, -2.471e-10
1.190e+1, -2.469e-10
1.200e+1, -2.467e-10
1.210e+1, -2.464e-10
1.220e+1, -2.458e-10
1.230e+1, -2.453e-10
1.240e+1, -2.448e-10
1.250e+1, -2.443e-10
1.260e+1, -2.438e-10
1.270e+1, -2.437e-10
1.280e+1, -2.435e-10
1.290e+1, -2.434e-10
1.300e+1, -2.432e-10
1.310e+1, -2.432e-10
1.320e+1, -2.432e-10
1.330e+1, -2.433e-10
1.340e+1, -2.432e-10
1.350e+1, -2.431e-10
1.360e+1, -2.432e-10
1.370e+1, -2.431e-10
1.380e+1, -2.431e-10
1.390e+1, -2.431e-10
1.400e+1, -2.430e-10
1.410e+1, -2.429e-10
1.420e+1, -2.428e-10
1.430e+1, -2.425e-10
1.440e+1, -2.423e-10
1.450e+1, -2.419e-10
1.460e+1, -2.416e-10
1.470e+1, -2.413e-10
1.480e+1, -2.410e-10
1.490e+1, -2.407e-10
1.500e+1, -2.404e-10
1.510e+1, -2.400e-10
1.520e+1, -2.399e-10
1.530e+1, -2.395e-10
1.540e+1, -2.393e-10
1.550e+1, -2.392e-10
1.560e+1, -2.390e-10
1.570e+1, -2.388e-10
1.580e+1, -2.387e-10
1.590e+1, -2.386e-10
1.600e+1, -2.385e-10
1.610e+1, -2.385e-10
1.620e+1, -2.385e-10
1.630e+1, -2.386e-10
1.640e+1, -2.387e-10
1.650e+1, -2.389e-10
1.660e+1, -2.392e-10
1.670e+1, -2.395e-10
1.680e+1, -2.398e-10
1.690e+1, -2.403e-10
1.700e+1, -2.408e-10
1.710e+1, -2.411e-10
1.720e+1, -2.416e-10
1.730e+1, -2.418e-10
1.740e+1, -2.420e-10
1.750e+1, -2.421e-10
1.760e+1, -2.422e-10
1.770e+1, -2.422e-10
1.780e+1, -2.422e-10
1.790e+1, -2.420e-10
1.800e+1, -2.419e-10
1.810e+1, -2.418e-10
1.820e+1, -2.417e-10
1.830e+1, -2.416e-10
1.840e+1, -2.414e-10
1.850e+1, -2.411e-10
1.860e+1, -2.409e-10
1.870e+1, -2.408e-10
1.880e+1, -2.406e-10
1.890e+1, -2.404e-10
1.900e+1, -2.402e-10
1.910e+1, -2.399e-10
1.920e+1, -2.395e-10
1.930e+1, -2.393e-10
1.940e+1, -2.390e-10
1.950e+1, -2.387e-10
1.960e+1, -2.386e-10
1.970e+1, -2.385e-10
1.980e+1, -2.384e-10
1.990e+1, -2.383e-10
2.000e+1, -2.383e-10
2.010e+1, -2.381e-10
2.020e+1, -2.378e-10
2.030e+1, -2.374e-10
2.040e+1, -2.370e-10
2.050e+1, -2.368e-10
2.060e+1, -2.365e-10
2.070e+1, -2.362e-10
2.080e+1, -2.361e-10
2.090e+1, -2.362e-10
2.100e+1, -2.366e-10
2.110e+1, -2.373e-10
2.120e+1, -2.378e-10
2.130e+1, -2.381e-10
2.140e+1, -2.383e-10
2.150e+1, -2.383e-10
2.160e+1, -2.380e-10
2.170e+1, -2.378e-10
2.180e+1, -2.373e-10
2.190e+1, -2.367e-10
2.200e+1, -2.361e-10
2.210e+1, -2.354e-10
2.220e+1, -2.348e-10
2.230e+1, -2.342e-10
2.240e+1, -2.336e-10
2.250e+1, -2.331e-10
2.260e+1, -2.326e-10
2.270e+1, -2.321e-10
2.280e+1, -2.315e-10
2.290e+1, -2.311e-10
2.300e+1, -2.307e-10
2.310e+1, -2.302e-10
2.320e+1, -2.298e-10
2.330e+1, -2.294e-10
2.340e+1, -2.290e-10
2.350e+1, -2.287e-10
2.360e+1, -2.284e-10
2.370e+1, -2.280e-10
2.380e+1, -2.277e-10
2.390e+1, -2.274e-10
2.400e+1, -2.272e-10
2.410e+1, -2.269e-10
2.420e+1, -2.266e-10
2.430e+1, -2.264e-10
2.440e+1, -2.261e-10
2.450e+1, -2.258e-10
2.460e+1, -2.255e-10
2.470e+1, -2.253e-10
2.480e+1, -2.250e-10
2.490e+1, -2.248e-10
2.500e+1, -2.246e-10
2.510e+1, -2.244e-10
2.520e+1, -2.243e-10
2.530e+1, -2.241e-10
2.540e+1, -2.240e-10
2.550e+1, -2.239e-10
2.560e+1, -2.237e-10
2.570e+1, -2.236e-10
2.580e+1, -2.236e-10
2.590e+1, -2.235e-10
2.600e+1, -2.235e-10
2.610e+1, -2.234e-10
2.620e+1, -2.234e-10
2.630e+1, -2.233e-10
2.640e+1, -2.234e-10
2.650e+1, -2.234e-10
2.660e+1, -2.234e-10
2.670e+1, -2.233e-10
2.680e+1, -2.232e-10
2.690e+1, -2.234e-10
2.700e+1, -2.234e-10
2.710e+1, -2.234e-10
2.720e+1, -2.233e-10
2.730e+1, -2.235e-10
2.740e+1, -2.234e-10
2.750e+1, -2.234e-10
2.760e+1, -2.235e-10
2.770e+1, -2.235e-10
2.780e+1, -2.237e-10
2.790e+1, -2.240e-10
2.800e+1, -2.243e-10
2.810e+1, -2.246e-10
2.820e+1, -2.250e-10
2.830e+1, -2.252e-10
2.840e+1, -2.254e-10
2.850e+1, -2.255e-10
2.860e+1, -2.257e-10
2.870e+1, -2.257e-10
2.880e+1, -2.258e-10
2.890e+1, -2.259e-10
2.900e+1, -2.258e-10
2.910e+1, -2.258e-10
2.920e+1, -2.258e-10
2.930e+1, -2.258e-10
2.940e+1, -2.258e-10
2.950e+1, -2.257e-10
2.960e+1, -2.256e-10
2.970e+1, -2.255e-10
2.980e+1, -2.254e-10
2.990e+1, -2.253e-10
3.000e+1, -2.251e-10
