May 25, 2023   17:39:32
Amperometric i-t Curve
File: c:/users/mapence2/desktop/data/2023_05_24\expt4\mix_4\it_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CA
Note: 

Init E (V) = 0.7
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, -2.940e-10
2.000e-1, -2.890e-10
3.000e-1, -2.844e-10
4.000e-1, -2.804e-10
5.000e-1, -2.769e-10
6.000e-1, -2.736e-10
7.000e-1, -2.705e-10
8.000e-1, -2.675e-10
9.000e-1, -2.646e-10
1.000e+0, -2.621e-10
1.100e+0, -2.596e-10
1.200e+0, -2.572e-10
1.300e+0, -2.549e-10
1.400e+0, -2.528e-10
1.500e+0, -2.507e-10
1.600e+0, -2.488e-10
1.700e+0, -2.470e-10
1.800e+0, -2.454e-10
1.900e+0, -2.438e-10
2.000e+0, -2.423e-10
2.100e+0, -2.409e-10
2.200e+0, -2.396e-10
2.300e+0, -2.382e-10
2.400e+0, -2.370e-10
2.500e+0, -2.358e-10
2.600e+0, -2.346e-10
2.700e+0, -2.334e-10
2.800e+0, -2.323e-10
2.900e+0, -2.314e-10
3.000e+0, -2.304e-10
3.100e+0, -2.295e-10
3.200e+0, -2.285e-10
3.300e+0, -2.277e-10
3.400e+0, -2.269e-10
3.500e+0, -2.261e-10
3.600e+0, -2.253e-10
3.700e+0, -2.245e-10
3.800e+0, -2.237e-10
3.900e+0, -2.231e-10
4.000e+0, -2.223e-10
4.100e+0, -2.216e-10
4.200e+0, -2.210e-10
4.300e+0, -2.203e-10
4.400e+0, -2.198e-10
4.500e+0, -2.194e-10
4.600e+0, -2.188e-10
4.700e+0, -2.184e-10
4.800e+0, -2.180e-10
4.900e+0, -2.176e-10
5.000e+0, -2.172e-10
5.100e+0, -2.169e-10
5.200e+0, -2.165e-10
5.300e+0, -2.162e-10
5.400e+0, -2.157e-10
5.500e+0, -2.154e-10
5.600e+0, -2.150e-10
5.700e+0, -2.145e-10
5.800e+0, -2.141e-10
5.900e+0, -2.137e-10
6.000e+0, -2.133e-10
6.100e+0, -2.128e-10
6.200e+0, -2.124e-10
6.300e+0, -2.119e-10
6.400e+0, -2.115e-10
6.500e+0, -2.111e-10
6.600e+0, -2.108e-10
6.700e+0, -2.105e-10
6.800e+0, -2.102e-10
6.900e+0, -2.098e-10
7.000e+0, -2.096e-10
7.100e+0, -2.094e-10
7.200e+0, -2.093e-10
7.300e+0, -2.090e-10
7.400e+0, -2.088e-10
7.500e+0, -2.086e-10
7.600e+0, -2.083e-10
7.700e+0, -2.079e-10
7.800e+0, -2.076e-10
7.900e+0, -2.072e-10
8.000e+0, -2.068e-10
8.100e+0, -2.065e-10
8.200e+0, -2.062e-10
8.300e+0, -2.061e-10
8.400e+0, -2.057e-10
8.500e+0, -2.056e-10
8.600e+0, -2.053e-10
8.700e+0, -2.051e-10
8.800e+0, -2.049e-10
8.900e+0, -2.047e-10
9.000e+0, -2.044e-10
9.100e+0, -2.042e-10
9.200e+0, -2.041e-10
9.300e+0, -2.039e-10
9.400e+0, -2.038e-10
9.500e+0, -2.038e-10
9.600e+0, -2.036e-10
9.700e+0, -2.035e-10
9.800e+0, -2.037e-10
9.900e+0, -2.036e-10
1.000e+1, -2.035e-10
1.010e+1, -2.034e-10
1.020e+1, -2.032e-10
1.030e+1, -2.029e-10
1.040e+1, -2.027e-10
1.050e+1, -2.026e-10
1.060e+1, -2.024e-10
1.070e+1, -2.022e-10
1.080e+1, -2.022e-10
1.090e+1, -2.023e-10
1.100e+1, -2.022e-10
1.110e+1, -2.022e-10
1.120e+1, -2.019e-10
1.130e+1, -2.017e-10
1.140e+1, -2.015e-10
1.150e+1, -2.012e-10
1.160e+1, -2.009e-10
1.170e+1, -2.006e-10
1.180e+1, -2.004e-10
1.190e+1, -2.002e-10
1.200e+1, -1.999e-10
1.210e+1, -1.997e-10
1.220e+1, -1.995e-10
1.230e+1, -1.994e-10
1.240e+1, -1.994e-10
1.250e+1, -1.994e-10
1.260e+1, -1.995e-10
1.270e+1, -1.998e-10
1.280e+1, -2.001e-10
1.290e+1, -2.004e-10
1.300e+1, -2.008e-10
1.310e+1, -2.012e-10
1.320e+1, -2.014e-10
1.330e+1, -2.014e-10
1.340e+1, -2.015e-10
1.350e+1, -2.015e-10
1.360e+1, -2.014e-10
1.370e+1, -2.012e-10
1.380e+1, -2.010e-10
1.390e+1, -2.007e-10
1.400e+1, -2.003e-10
1.410e+1, -2.000e-10
1.420e+1, -1.997e-10
1.430e+1, -1.994e-10
1.440e+1, -1.991e-10
1.450e+1, -1.987e-10
1.460e+1, -1.985e-10
1.470e+1, -1.982e-10
1.480e+1, -1.979e-10
1.490e+1, -1.977e-10
1.500e+1, -1.975e-10
1.510e+1, -1.974e-10
1.520e+1, -1.972e-10
1.530e+1, -1.969e-10
1.540e+1, -1.968e-10
1.550e+1, -1.968e-10
1.560e+1, -1.967e-10
1.570e+1, -1.967e-10
1.580e+1, -1.966e-10
1.590e+1, -1.965e-10
1.600e+1, -1.964e-10
1.610e+1, -1.964e-10
1.620e+1, -1.963e-10
1.630e+1, -1.963e-10
1.640e+1, -1.962e-10
1.650e+1, -1.961e-10
1.660e+1, -1.961e-10
1.670e+1, -1.960e-10
1.680e+1, -1.958e-10
1.690e+1, -1.957e-10
1.700e+1, -1.956e-10
1.710e+1, -1.956e-10
1.720e+1, -1.955e-10
1.730e+1, -1.953e-10
1.740e+1, -1.953e-10
1.750e+1, -1.953e-10
