May 25, 2023   18:50:03
Cyclic Voltammetry
File: c:/users/mapence2/desktop/data/2023_05_24\expt4\mix_7\cv_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CV
Note: 

Init E (V) = 0
High E (V) = 0.7
Low E (V) = 0
Final E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.005
Segment = 3
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:
Segment 1:

Segment 2:

Segment 3:

Potential/V, Current/A

0.000, 2.023e-11
0.001, 1.669e-11
0.002, 1.418e-11
0.003, 1.226e-11
0.004, 1.065e-11
0.005, 9.390e-12
0.006, 8.307e-12
0.007, 7.444e-12
0.008, 6.727e-12
0.009, 6.023e-12
0.010, 5.360e-12
0.011, 4.803e-12
0.012, 4.426e-12
0.013, 3.974e-12
0.014, 3.264e-12
0.015, 3.200e-12
0.016, 3.181e-12
0.017, 3.046e-12
0.018, 2.503e-12
0.019, 2.393e-12
0.020, 2.396e-12
0.021, 2.178e-12
0.022, 2.001e-12
0.023, 1.869e-12
0.024, 1.667e-12
0.025, 1.540e-12
0.026, 1.474e-12
0.027, 1.400e-12
0.028, 1.252e-12
0.029, 1.033e-12
0.030, 8.947e-13
0.031, 8.474e-13
0.032, 8.207e-13
0.033, 7.758e-13
0.034, 6.994e-13
0.035, 6.309e-13
0.036, 5.529e-13
0.037, 4.859e-13
0.038, 3.993e-13
0.039, 2.914e-13
0.040, 2.197e-13
0.041, 1.118e-13
0.042, 7.167e-14
0.043, -1.576e-15
0.044, -1.079e-13
0.045, -1.874e-13
0.046, -2.126e-13
0.047, -2.189e-13
0.048, -2.977e-13
0.049, -3.741e-13
0.050, -4.631e-13
0.051, -5.663e-13
0.052, -5.820e-13
0.053, -6.340e-13
0.054, -6.907e-13
0.055, -7.899e-13
0.056, -7.986e-13
0.057, -8.175e-13
0.058, -8.309e-13
0.059, -9.506e-13
0.060, -1.017e-12
0.061, -1.047e-12
0.062, -1.097e-12
0.063, -1.181e-12
0.064, -1.233e-12
0.065, -1.291e-12
0.066, -1.355e-12
0.067, -1.407e-12
0.068, -1.466e-12
0.069, -1.533e-12
0.070, -1.581e-12
0.071, -1.606e-12
0.072, -1.656e-12
0.073, -1.711e-12
0.074, -1.818e-12
0.075, -1.950e-12
0.076, -1.956e-12
0.077, -1.929e-12
0.078, -1.974e-12
0.079, -2.035e-12
0.080, -2.093e-12
0.081, -2.216e-12
0.082, -2.284e-12
0.083, -2.260e-12
0.084, -2.301e-12
0.085, -2.365e-12
0.086, -2.397e-12
0.087, -2.476e-12
0.088, -2.544e-12
0.089, -2.615e-12
0.090, -2.656e-12
0.091, -2.716e-12
0.092, -2.801e-12
0.093, -2.861e-12
0.094, -2.985e-12
0.095, -3.061e-12
0.096, -3.106e-12
0.097, -3.151e-12
0.098, -3.138e-12
0.099, -3.185e-12
0.100, -3.285e-12
0.101, -3.407e-12
0.102, -3.424e-12
0.103, -3.499e-12
0.104, -3.559e-12
0.105, -3.619e-12
0.106, -3.708e-12
0.107, -3.888e-12
0.108, -3.930e-12
0.109, -3.976e-12
0.110, -4.092e-12
0.111, -4.121e-12
0.112, -4.163e-12
0.113, -4.235e-12
0.114, -4.352e-12
0.115, -4.379e-12
0.116, -4.472e-12
0.117, -4.529e-12
0.118, -4.653e-12
0.119, -4.722e-12
0.120, -4.796e-12
0.121, -4.804e-12
0.122, -4.919e-12
0.123, -5.083e-12
0.124, -5.132e-12
0.125, -5.236e-12
0.126, -5.371e-12
0.127, -5.437e-12
0.128, -5.519e-12
0.129, -5.630e-12
0.130, -5.676e-12
0.131, -5.800e-12
0.132, -5.918e-12
0.133, -6.020e-12
0.134, -6.140e-12
0.135, -6.227e-12
0.136, -6.353e-12
0.137, -6.450e-12
0.138, -6.530e-12
0.139, -6.646e-12
0.140, -6.770e-12
0.141, -6.807e-12
0.142, -6.961e-12
0.143, -7.082e-12
0.144, -7.199e-12
0.145, -7.317e-12
0.146, -7.427e-12
0.147, -7.571e-12
0.148, -7.697e-12
0.149, -7.773e-12
0.150, -7.885e-12
0.151, -7.992e-12
0.152, -8.113e-12
0.153, -8.254e-12
0.154, -8.396e-12
0.155, -8.524e-12
0.156, -8.671e-12
0.157, -8.792e-12
0.158, -8.904e-12
0.159, -9.047e-12
0.160, -9.186e-12
0.161, -9.299e-12
0.162, -9.458e-12
0.163, -9.614e-12
0.164, -9.798e-12
0.165, -9.949e-12
0.166, -1.015e-11
0.167, -1.032e-11
0.168, -1.049e-11
0.169, -1.065e-11
0.170, -1.080e-11
0.171, -1.087e-11
0.172, -1.106e-11
0.173, -1.128e-11
0.174, -1.142e-11
0.175, -1.157e-11
0.176, -1.174e-11
0.177, -1.186e-11
0.178, -1.203e-11
0.179, -1.218e-11
0.180, -1.239e-11
0.181, -1.263e-11
0.182, -1.283e-11
0.183, -1.302e-11
0.184, -1.317e-11
0.185, -1.331e-11
0.186, -1.346e-11
0.187, -1.363e-11
0.188, -1.381e-11
0.189, -1.403e-11
0.190, -1.423e-11
0.191, -1.450e-11
0.192, -1.473e-11
0.193, -1.485e-11
0.194, -1.503e-11
0.195, -1.524e-11
0.196, -1.548e-11
0.197, -1.573e-11
0.198, -1.596e-11
0.199, -1.623e-11
0.200, -1.648e-11
0.201, -1.666e-11
0.202, -1.681e-11
0.203, -1.701e-11
0.204, -1.725e-11
0.205, -1.749e-11
0.206, -1.771e-11
0.207, -1.791e-11
0.208, -1.816e-11
0.209, -1.839e-11
0.210, -1.861e-11
0.211, -1.883e-11
0.212, -1.911e-11
0.213, -1.938e-11
0.214, -1.961e-11
0.215, -1.993e-11
0.216, -2.015e-11
0.217, -2.047e-11
0.218, -2.077e-11
0.219, -2.105e-11
0.220, -2.133e-11
0.221, -2.161e-11
0.222, -2.190e-11
0.223, -2.220e-11
0.224, -2.251e-11
0.225, -2.282e-11
0.226, -2.315e-11
0.227, -2.347e-11
0.228, -2.377e-11
0.229, -2.411e-11
0.230, -2.444e-11
0.231, -2.471e-11
0.232, -2.505e-11
0.233, -2.541e-11
0.234, -2.577e-11
0.235, -2.612e-11
0.236, -2.646e-11
0.237, -2.676e-11
0.238, -2.708e-11
0.239, -2.749e-11
0.240, -2.788e-11
0.241, -2.819e-11
0.242, -2.855e-11
0.243, -2.901e-11
0.244, -2.937e-11
0.245, -2.976e-11
0.246, -3.021e-11
0.247, -3.064e-11
0.248, -3.106e-11
0.249, -3.149e-11
0.250, -3.181e-11
0.251, -3.224e-11
0.252, -3.280e-11
0.253, -3.341e-11
0.254, -3.394e-11
0.255, -3.428e-11
0.256, -3.450e-11
0.257, -3.486e-11
0.258, -3.530e-11
0.259, -3.580e-11
0.260, -3.632e-11
0.261, -3.685e-11
0.262, -3.735e-11
0.263, -3.773e-11
0.264, -3.809e-11
0.265, -3.856e-11
0.266, -3.905e-11
0.267, -3.953e-11
0.268, -4.010e-11
0.269, -4.056e-11
0.270, -4.109e-11
0.271, -4.158e-11
0.272, -4.210e-11
0.273, -4.263e-11
0.274, -4.316e-11
0.275, -4.373e-11
0.276, -4.434e-11
0.277, -4.493e-11
0.278, -4.541e-11
0.279, -4.587e-11
0.280, -4.650e-11
0.281, -4.705e-11
0.282, -4.768e-11
0.283, -4.832e-11
0.284, -4.895e-11
0.285, -4.955e-11
0.286, -5.018e-11
0.287, -5.084e-11
0.288, -5.148e-11
0.289, -5.214e-11
0.290, -5.273e-11
0.291, -5.339e-11
0.292, -5.407e-11
0.293, -5.473e-11
0.294, -5.536e-11
0.295, -5.604e-11
0.296, -5.672e-11
0.297, -5.742e-11
0.298, -5.809e-11
0.299, -5.875e-11
0.300, -5.946e-11
0.301, -6.019e-11
0.302, -6.088e-11
0.303, -6.155e-11
0.304, -6.225e-11
0.305, -6.298e-11
0.306, -6.377e-11
0.307, -6.453e-11
0.308, -6.540e-11
0.309, -6.614e-11
0.310, -6.681e-11
0.311, -6.753e-11
0.312, -6.826e-11
0.313, -6.907e-11
0.314, -6.975e-11
0.315, -7.050e-11
0.316, -7.125e-11
0.317, -7.202e-11
0.318, -7.289e-11
0.319, -7.365e-11
0.320, -7.438e-11
0.321, -7.513e-11
0.322, -7.583e-11
0.323, -7.658e-11
0.324, -7.737e-11
0.325, -7.816e-11
0.326, -7.890e-11
0.327, -7.962e-11
0.328, -8.040e-11
0.329, -8.118e-11
0.330, -8.195e-11
0.331, -8.268e-11
0.332, -8.348e-11
0.333, -8.430e-11
0.334, -8.509e-11
0.335, -8.582e-11
0.336, -8.665e-11
0.337, -8.744e-11
0.338, -8.821e-11
0.339, -8.898e-11
0.340, -8.977e-11
0.341, -9.055e-11
0.342, -9.133e-11
0.343, -9.210e-11
0.344, -9.283e-11
0.345, -9.358e-11
0.346, -9.435e-11
0.347, -9.518e-11
0.348, -9.598e-11
0.349, -9.672e-11
0.350, -9.750e-11
0.351, -9.822e-11
0.352, -9.898e-11
0.353, -9.970e-11
0.354, -1.005e-10
0.355, -1.013e-10
0.356, -1.020e-10
0.357, -1.027e-10
0.358, -1.035e-10
0.359, -1.043e-10
0.360, -1.050e-10
0.361, -1.057e-10
0.362, -1.064e-10
0.363, -1.071e-10
0.364, -1.077e-10
0.365, -1.083e-10
0.366, -1.090e-10
0.367, -1.097e-10
0.368, -1.104e-10
0.369, -1.111e-10
0.370, -1.119e-10
0.371, -1.126e-10
0.372, -1.132e-10
0.373, -1.139e-10
0.374, -1.146e-10
0.375, -1.152e-10
0.376, -1.158e-10
0.377, -1.164e-10
0.378, -1.170e-10
0.379, -1.176e-10
0.380, -1.183e-10
0.381, -1.188e-10
0.382, -1.194e-10
0.383, -1.199e-10
0.384, -1.204e-10
0.385, -1.210e-10
0.386, -1.215e-10
0.387, -1.221e-10
0.388, -1.226e-10
0.389, -1.231e-10
0.390, -1.236e-10
0.391, -1.241e-10
0.392, -1.247e-10
0.393, -1.252e-10
0.394, -1.258e-10
0.395, -1.263e-10
0.396, -1.268e-10
0.397, -1.274e-10
0.398, -1.280e-10
0.399, -1.288e-10
0.400, -1.294e-10
0.401, -1.298e-10
0.402, -1.303e-10
0.403, -1.309e-10
0.404, -1.314e-10
0.405, -1.319e-10
0.406, -1.325e-10
0.407, -1.330e-10
0.408, -1.335e-10
0.409, -1.341e-10
0.410, -1.347e-10
0.411, -1.355e-10
0.412, -1.361e-10
0.413, -1.365e-10
0.414, -1.368e-10
0.415, -1.372e-10
0.416, -1.375e-10
0.417, -1.379e-10
0.418, -1.384e-10
0.419, -1.389e-10
0.420, -1.394e-10
0.421, -1.400e-10
0.422, -1.406e-10
0.423, -1.412e-10
0.424, -1.418e-10
0.425, -1.422e-10
0.426, -1.426e-10
0.427, -1.431e-10
0.428, -1.435e-10
0.429, -1.439e-10
0.430, -1.443e-10
0.431, -1.448e-10
0.432, -1.455e-10
0.433, -1.462e-10
0.434, -1.469e-10
0.435, -1.476e-10
0.436, -1.483e-10
0.437, -1.488e-10
0.438, -1.493e-10
0.439, -1.497e-10
0.440, -1.501e-10
0.441, -1.505e-10
0.442, -1.509e-10
0.443, -1.512e-10
0.444, -1.516e-10
0.445, -1.519e-10
0.446, -1.522e-10
0.447, -1.524e-10
