May 25, 2023   16:31:40
Amperometric i-t Curve
File: c:/users/mapence2/desktop/data/2023_05_24\expt4\mix_1\it_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CA
Note: 

Init E (V) = 0.7
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, -1.785e-10
2.000e-1, -1.754e-10
3.000e-1, -1.727e-10
4.000e-1, -1.702e-10
5.000e-1, -1.679e-10
6.000e-1, -1.657e-10
7.000e-1, -1.635e-10
8.000e-1, -1.617e-10
9.000e-1, -1.600e-10
1.000e+0, -1.583e-10
1.100e+0, -1.567e-10
1.200e+0, -1.551e-10
1.300e+0, -1.538e-10
1.400e+0, -1.525e-10
1.500e+0, -1.512e-10
1.600e+0, -1.499e-10
1.700e+0, -1.487e-10
1.800e+0, -1.475e-10
1.900e+0, -1.465e-10
2.000e+0, -1.454e-10
2.100e+0, -1.444e-10
2.200e+0, -1.434e-10
2.300e+0, -1.424e-10
2.400e+0, -1.415e-10
2.500e+0, -1.406e-10
2.600e+0, -1.397e-10
2.700e+0, -1.390e-10
2.800e+0, -1.382e-10
2.900e+0, -1.375e-10
3.000e+0, -1.367e-10
3.100e+0, -1.361e-10
3.200e+0, -1.354e-10
3.300e+0, -1.348e-10
3.400e+0, -1.342e-10
3.500e+0, -1.337e-10
3.600e+0, -1.331e-10
3.700e+0, -1.326e-10
3.800e+0, -1.320e-10
3.900e+0, -1.316e-10
4.000e+0, -1.311e-10
4.100e+0, -1.305e-10
4.200e+0, -1.301e-10
4.300e+0, -1.295e-10
4.400e+0, -1.291e-10
4.500e+0, -1.286e-10
4.600e+0, -1.282e-10
4.700e+0, -1.277e-10
4.800e+0, -1.272e-10
4.900e+0, -1.268e-10
5.000e+0, -1.264e-10
5.100e+0, -1.260e-10
5.200e+0, -1.256e-10
5.300e+0, -1.252e-10
5.400e+0, -1.248e-10
5.500e+0, -1.244e-10
5.600e+0, -1.241e-10
5.700e+0, -1.237e-10
5.800e+0, -1.234e-10
5.900e+0, -1.230e-10
6.000e+0, -1.227e-10
6.100e+0, -1.224e-10
6.200e+0, -1.221e-10
6.300e+0, -1.218e-10
6.400e+0, -1.215e-10
6.500e+0, -1.213e-10
6.600e+0, -1.210e-10
6.700e+0, -1.208e-10
6.800e+0, -1.205e-10
6.900e+0, -1.204e-10
7.000e+0, -1.201e-10
7.100e+0, -1.199e-10
7.200e+0, -1.196e-10
7.300e+0, -1.194e-10
7.400e+0, -1.193e-10
7.500e+0, -1.191e-10
7.600e+0, -1.189e-10
7.700e+0, -1.187e-10
7.800e+0, -1.186e-10
7.900e+0, -1.185e-10
8.000e+0, -1.183e-10
8.100e+0, -1.181e-10
8.200e+0, -1.180e-10
8.300e+0, -1.179e-10
8.400e+0, -1.177e-10
8.500e+0, -1.176e-10
8.600e+0, -1.175e-10
8.700e+0, -1.174e-10
8.800e+0, -1.172e-10
8.900e+0, -1.169e-10
9.000e+0, -1.168e-10
9.100e+0, -1.166e-10
9.200e+0, -1.163e-10
9.300e+0, -1.160e-10
9.400e+0, -1.157e-10
9.500e+0, -1.154e-10
9.600e+0, -1.152e-10
9.700e+0, -1.149e-10
9.800e+0, -1.146e-10
9.900e+0, -1.146e-10
1.000e+1, -1.146e-10
1.010e+1, -1.146e-10
1.020e+1, -1.147e-10
1.030e+1, -1.149e-10
1.040e+1, -1.149e-10
1.050e+1, -1.149e-10
1.060e+1, -1.147e-10
1.070e+1, -1.146e-10
1.080e+1, -1.144e-10
1.090e+1, -1.144e-10
1.100e+1, -1.145e-10
1.110e+1, -1.147e-10
1.120e+1, -1.148e-10
1.130e+1, -1.148e-10
1.140e+1, -1.148e-10
1.150e+1, -1.148e-10
1.160e+1, -1.149e-10
1.170e+1, -1.151e-10
1.180e+1, -1.150e-10
1.190e+1, -1.153e-10
1.200e+1, -1.154e-10
1.210e+1, -1.153e-10
1.220e+1, -1.155e-10
1.230e+1, -1.156e-10
1.240e+1, -1.156e-10
1.250e+1, -1.157e-10
1.260e+1, -1.156e-10
1.270e+1, -1.156e-10
1.280e+1, -1.154e-10
1.290e+1, -1.153e-10
1.300e+1, -1.152e-10
1.310e+1, -1.150e-10
1.320e+1, -1.148e-10
1.330e+1, -1.147e-10
1.340e+1, -1.146e-10
1.350e+1, -1.146e-10
1.360e+1, -1.146e-10
1.370e+1, -1.143e-10
1.380e+1, -1.142e-10
1.390e+1, -1.140e-10
1.400e+1, -1.138e-10
1.410e+1, -1.135e-10
1.420e+1, -1.133e-10
1.430e+1, -1.131e-10
1.440e+1, -1.130e-10
1.450e+1, -1.128e-10
1.460e+1, -1.127e-10
1.470e+1, -1.127e-10
1.480e+1, -1.126e-10
1.490e+1, -1.126e-10
1.500e+1, -1.126e-10
1.510e+1, -1.126e-10
1.520e+1, -1.127e-10
1.530e+1, -1.126e-10
