Mar. 16, 2023   08:31:25
Cyclic Voltammetry
File: c:/users/oliverrz/desktop/electrolab/data/2023_03_16\fcmeoh_macros_0_um\electrode3_cv_200mvs_0_um.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CV
Note: 

Init E (V) = -0.2
High E (V) = 0.3
Low E (V) = -0.2
Final E (V) = -0.2
Init P/N = P
Scan Rate (V/s) = 0.2
Segment = 3
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7

Results:

Channel 1:
Segment 1:

Segment 2:

Segment 3:

Potential/V, Current/A

-0.200, 1.841e-9
-0.199, 1.110e-9
-0.198, 1.002e-9
-0.197, 1.179e-9
-0.196, 1.009e-9
-0.195, 8.516e-10
-0.194, 1.005e-9
-0.193, 9.879e-10
-0.192, 7.721e-10
-0.191, 8.514e-10
-0.190, 9.436e-10
-0.189, 7.563e-10
-0.188, 7.028e-10
-0.187, 8.946e-10
-0.186, 7.525e-10
-0.185, 6.043e-10
-0.184, 7.812e-10
-0.183, 7.767e-10
-0.182, 5.513e-10
-0.181, 6.540e-10
-0.180, 7.437e-10
-0.179, 5.489e-10
-0.178, 5.199e-10
-0.177, 7.025e-10
-0.176, 5.818e-10
-0.175, 4.307e-10
-0.174, 6.003e-10
-0.173, 6.099e-10
-0.172, 3.815e-10
-0.171, 4.880e-10
-0.170, 5.995e-10
-0.169, 3.813e-10
-0.168, 3.715e-10
-0.167, 5.513e-10
-0.166, 4.153e-10
-0.165, 2.896e-10
-0.164, 4.538e-10
-0.163, 4.584e-10
-0.162, 2.461e-10
-0.161, 3.386e-10
-0.160, 4.543e-10
-0.159, 2.614e-10
-0.158, 2.149e-10
-0.157, 4.171e-10
-0.156, 2.835e-10
-0.155, 1.491e-10
-0.154, 3.272e-10
-0.153, 3.120e-10
-0.152, 1.089e-10
-0.151, 2.135e-10
-0.150, 3.092e-10
-0.149, 1.309e-10
-0.148, 9.118e-11
-0.147, 2.887e-10
-0.146, 1.623e-10
-0.145, 1.311e-11
-0.144, 2.075e-10
-0.143, 1.995e-10
-0.142, -1.957e-11
-0.141, 8.597e-11
-0.140, 1.934e-10
-0.139, 2.875e-12
-0.138, -1.160e-11
-0.137, 1.548e-10
-0.136, 4.107e-11
-0.135, -1.050e-10
-0.134, 7.878e-11
-0.133, 8.232e-11
-0.132, -1.321e-10
-0.131, -3.257e-11
-0.130, 8.656e-11
-0.129, -1.254e-10
-0.128, -1.376e-10
-0.127, 4.698e-11
-0.126, -8.563e-11
-0.125, -2.108e-10
-0.124, -3.099e-11
-0.123, -4.221e-11
-0.122, -2.377e-10
-0.121, -1.539e-10
-0.120, -2.705e-11
-0.119, -2.259e-10
-0.118, -2.507e-10
-0.117, -6.062e-11
-0.116, -1.945e-10
-0.115, -3.280e-10
-0.114, -1.371e-10
-0.113, -1.568e-10
-0.112, -3.423e-10
-0.111, -2.529e-10
-0.110, -1.446e-10
-0.109, -3.393e-10
-0.108, -3.612e-10
-0.107, -1.740e-10
-0.106, -2.897e-10
-0.105, -4.557e-10
-0.104, -2.474e-10
-0.103, -2.669e-10
-0.102, -4.756e-10
-0.101, -3.634e-10
-0.100, -2.570e-10
-0.099, -4.533e-10
-0.098, -4.614e-10
-0.097, -2.979e-10
-0.096, -4.004e-10
-0.095, -5.499e-10
-0.094, -3.678e-10
-0.093, -3.659e-10
-0.092, -5.807e-10
-0.091, -4.673e-10
-0.090, -3.608e-10
-0.089, -5.728e-10
-0.088, -5.671e-10
-0.087, -3.951e-10
-0.086, -5.213e-10
-0.085, -6.547e-10
-0.084, -4.742e-10
-0.083, -4.817e-10
-0.082, -6.771e-10
-0.081, -5.929e-10
-0.080, -4.658e-10
-0.079, -6.727e-10
-0.078, -6.846e-10
-0.077, -5.099e-10
-0.076, -6.299e-10
-0.075, -7.732e-10
-0.074, -5.701e-10
-0.073, -6.088e-10
-0.072, -7.908e-10
-0.071, -6.943e-10
-0.070, -5.851e-10
-0.069, -7.851e-10
-0.068, -7.999e-10
-0.067, -6.219e-10
-0.066, -7.343e-10
-0.065, -8.950e-10
-0.064, -6.827e-10
-0.063, -7.103e-10
-0.062, -9.141e-10
-0.061, -8.037e-10
-0.060, -7.007e-10
-0.059, -9.052e-10
-0.058, -9.016e-10
-0.057, -7.426e-10
-0.056, -8.511e-10
-0.055, -9.956e-10
-0.054, -8.121e-10
-0.053, -8.251e-10
-0.052, -1.025e-9
-0.051, -9.288e-10
-0.050, -8.132e-10
-0.049, -1.028e-9
-0.048, -1.018e-9
-0.047, -8.491e-10
-0.046, -9.784e-10
-0.045, -1.103e-9
-0.044, -9.219e-10
-0.043, -9.461e-10
-0.042, -1.127e-9
-0.041, -1.045e-9
-0.040, -9.154e-10
-0.039, -1.130e-9
-0.038, -1.141e-9
-0.037, -9.580e-10
-0.036, -1.090e-9
-0.035, -1.220e-9
-0.034, -1.020e-9
-0.033, -1.068e-9
-0.032, -1.238e-9
-0.031, -1.135e-9
-0.030, -1.037e-9
-0.029, -1.240e-9
-0.028, -1.241e-9
-0.027, -1.066e-9
-0.026, -1.190e-9
-0.025, -1.334e-9
-0.024, -1.124e-9
-0.023, -1.155e-9
-0.022, -1.355e-9
-0.021, -1.238e-9
-0.020, -1.131e-9
-0.019, -1.336e-9
-0.018, -1.329e-9
-0.017, -1.171e-9
-0.016, -1.274e-9
-0.015, -1.416e-9
-0.014, -1.223e-9
-0.013, -1.248e-9
-0.012, -1.439e-9
-0.011, -1.331e-9
-0.010, -1.211e-9
-0.009, -1.434e-9
-0.008, -1.419e-9
-0.007, -1.239e-9
-0.006, -1.370e-9
-0.005, -1.495e-9
-0.004, -1.302e-9
-0.003, -1.324e-9
-0.002, -1.507e-9
-0.001, -1.416e-9
-0.000, -1.353e-9
0.001, -1.509e-9
0.002, -1.503e-9
0.003, -1.319e-9
0.004, -1.448e-9
0.005, -1.576e-9
0.006, -1.366e-9
0.007, -1.413e-9
0.008, -1.581e-9
0.009, -1.470e-9
0.010, -1.374e-9
0.011, -1.566e-9
0.012, -1.568e-9
0.013, -1.383e-9
0.014, -1.507e-9
0.015, -1.648e-9
0.016, -1.428e-9
0.017, -1.464e-9
0.018, -1.657e-9
0.019, -1.527e-9
0.020, -1.431e-9
0.021, -1.633e-9
0.022, -1.617e-9
0.023, -1.451e-9
0.024, -1.565e-9
0.025, -1.702e-9
0.026, -1.501e-9
0.027, -1.521e-9
0.028, -1.715e-9
0.029, -1.591e-9
0.030, -1.487e-9
0.031, -1.700e-9
0.032, -1.677e-9
0.033, -1.495e-9
0.034, -1.642e-9
0.035, -1.751e-9
0.036, -1.554e-9
0.037, -1.580e-9
0.038, -1.772e-9
0.039, -1.654e-9
0.040, -1.543e-9
0.041, -1.743e-9
0.042, -1.748e-9
0.043, -1.545e-9
0.044, -1.702e-9
0.045, -1.803e-9
0.046, -1.609e-9
0.047, -1.641e-9
0.048, -1.826e-9
0.049, -1.693e-9
0.050, -1.615e-9
0.051, -1.803e-9
0.052, -1.805e-9
0.053, -1.610e-9
0.054, -1.749e-9
0.055, -1.874e-9
0.056, -1.670e-9
0.057, -1.684e-9
0.058, -1.902e-9
0.059, -1.756e-9
0.060, -1.673e-9
0.061, -1.854e-9
0.062, -1.858e-9
0.063, -1.674e-9
0.064, -1.816e-9
0.065, -1.916e-9
0.066, -1.740e-9
0.067, -1.741e-9
0.068, -1.958e-9
0.069, -1.813e-9
0.070, -1.723e-9
0.071, -1.933e-9
0.072, -1.913e-9
0.073, -1.721e-9
0.074, -1.888e-9
0.075, -1.970e-9
0.076, -1.801e-9
0.077, -1.818e-9
0.078, -2.011e-9
0.079, -1.888e-9
0.080, -1.796e-9
0.081, -1.980e-9
0.082, -1.993e-9
0.083, -1.785e-9
0.084, -1.949e-9
0.085, -2.044e-9
0.086, -1.855e-9
0.087, -1.881e-9
0.088, -2.076e-9
0.089, -1.940e-9
0.090, -1.871e-9
0.091, -2.040e-9
0.092, -2.060e-9
0.093, -1.852e-9
0.094, -2.001e-9
0.095, -2.114e-9
0.096, -1.922e-9
0.097, -1.942e-9
0.098, -2.154e-9
0.099, -1.996e-9
0.100, -1.936e-9
0.101, -2.110e-9
0.102, -2.125e-9
0.103, -1.932e-9
0.104, -2.077e-9
0.105, -2.178e-9
0.106, -1.999e-9
0.107, -2.005e-9
0.108, -2.228e-9
0.109, -2.072e-9
0.110, -1.998e-9
0.111, -2.190e-9
0.112, -2.181e-9
0.113, -1.989e-9
0.114, -2.154e-9
0.115, -2.239e-9
0.116, -2.074e-9
0.117, -2.077e-9
0.118, -2.286e-9
0.119, -2.157e-9
0.120, -2.062e-9
0.121, -2.249e-9
0.122, -2.261e-9
0.123, -2.051e-9
0.124, -2.232e-9
0.125, -2.316e-9
0.126, -2.132e-9
0.127, -2.159e-9
0.128, -2.361e-9
0.129, -2.212e-9
