May 25, 2023   22:35:49
Cyclic Voltammetry
File: c:/users/mapence2/desktop/data/2023_05_24\expt5\mix_7\cv_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CV
Note: 

Init E (V) = 0
High E (V) = 0.7
Low E (V) = 0
Final E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.005
Segment = 3
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:
Segment 1:

Segment 2:

Segment 3:

Potential/V, Current/A

0.000, 2.049e-11
0.001, 1.602e-11
0.002, 1.306e-11
0.003, 1.110e-11
0.004, 9.814e-12
0.005, 8.700e-12
0.006, 7.754e-12
0.007, 6.933e-12
0.008, 6.232e-12
0.009, 5.701e-12
0.010, 5.522e-12
0.011, 4.933e-12
0.012, 4.599e-12
0.013, 4.571e-12
0.014, 3.827e-12
0.015, 3.439e-12
0.016, 3.363e-12
0.017, 3.194e-12
0.018, 2.916e-12
0.019, 2.657e-12
0.020, 2.334e-12
0.021, 2.330e-12
0.022, 2.378e-12
0.023, 2.301e-12
0.024, 2.156e-12
0.025, 1.962e-12
0.026, 1.677e-12
0.027, 1.645e-12
0.028, 1.630e-12
0.029, 1.566e-12
0.030, 1.403e-12
0.031, 1.271e-12
0.032, 1.119e-12
0.033, 1.141e-12
0.034, 1.125e-12
0.035, 1.088e-12
0.036, 9.246e-13
0.037, 9.727e-13
0.038, 7.632e-13
0.039, 7.443e-13
0.040, 9.010e-13
0.041, 6.513e-13
0.042, 6.064e-13
0.043, 7.679e-13
0.044, 7.789e-13
0.045, 6.868e-13
0.046, 5.891e-13
0.047, 6.064e-13
0.048, 6.513e-13
0.049, 5.332e-13
0.050, 5.419e-13
0.051, 5.277e-13
0.052, 4.536e-13
0.053, 3.284e-13
0.054, 3.213e-13
0.055, 2.883e-13
0.056, 2.890e-13
0.057, 2.701e-13
0.058, 1.969e-13
0.059, 1.859e-13
0.060, 2.071e-13
0.061, 1.465e-13
0.062, 1.071e-13
0.063, 4.962e-14
0.064, -1.811e-14
0.065, -1.575e-14
0.066, -3.859e-14
0.067, -1.016e-13
0.068, -9.372e-14
0.069, -1.331e-13
0.070, -1.804e-13
0.071, -2.111e-13
0.072, -2.166e-13
0.073, -3.402e-13
0.074, -4.103e-13
0.075, -3.977e-13
0.076, -3.843e-13
0.077, -3.647e-13
0.078, -4.568e-13
0.079, -5.001e-13
0.080, -4.938e-13
0.081, -5.017e-13
0.082, -5.631e-13
0.083, -5.891e-13
0.084, -6.246e-13
0.085, -6.978e-13
0.086, -7.332e-13
0.087, -7.537e-13
0.088, -7.734e-13
0.089, -8.262e-13
0.090, -9.459e-13
0.091, -1.029e-12
0.092, -9.561e-13
0.093, -9.388e-13
0.094, -1.014e-12
0.095, -1.079e-12
0.096, -1.030e-12
0.097, -1.068e-12
0.098, -1.168e-12
0.099, -1.314e-12
0.100, -1.385e-12
0.101, -1.345e-12
0.102, -1.411e-12
0.103, -1.470e-12
0.104, -1.470e-12
0.105, -1.501e-12
0.106, -1.524e-12
0.107, -1.516e-12
0.108, -1.548e-12
0.109, -1.693e-12
0.110, -1.983e-12
0.111, -1.946e-12
0.112, -1.997e-12
0.113, -1.873e-12
0.114, -1.908e-12
0.115, -2.045e-12
0.116, -2.134e-12
0.117, -2.246e-12
0.118, -2.150e-12
0.119, -2.191e-12
0.120, -2.316e-12
0.121, -2.341e-12
0.122, -2.473e-12
0.123, -2.436e-12
0.124, -2.420e-12
0.125, -2.408e-12
0.126, -2.430e-12
0.127, -2.487e-12
0.128, -2.611e-12
0.129, -2.671e-12
0.130, -2.739e-12
0.131, -2.796e-12
0.132, -2.823e-12
0.133, -2.894e-12
0.134, -2.992e-12
0.135, -3.093e-12
0.136, -3.139e-12
0.137, -3.172e-12
0.138, -3.206e-12
0.139, -3.290e-12
0.140, -3.330e-12
0.141, -3.404e-12
0.142, -3.515e-12
0.143, -3.608e-12
0.144, -3.676e-12
0.145, -3.798e-12
0.146, -3.870e-12
0.147, -3.862e-12
0.148, -3.873e-12
0.149, -4.088e-12
0.150, -4.173e-12
0.151, -4.121e-12
0.152, -4.390e-12
0.153, -4.430e-12
0.154, -4.499e-12
0.155, -4.510e-12
0.156, -4.650e-12
0.157, -4.762e-12
0.158, -4.802e-12
0.159, -4.888e-12
0.160, -4.822e-12
0.161, -4.901e-12
0.162, -5.006e-12
0.163, -5.079e-12
0.164, -5.212e-12
0.165, -5.359e-12
0.166, -5.471e-12
0.167, -5.465e-12
0.168, -5.433e-12
0.169, -5.520e-12
0.170, -5.541e-12
0.171, -5.759e-12
0.172, -5.908e-12
0.173, -6.161e-12
0.174, -6.212e-12
0.175, -6.072e-12
0.176, -6.227e-12
0.177, -6.413e-12
0.178, -6.376e-12
0.179, -6.290e-12
0.180, -6.435e-12
0.181, -6.677e-12
0.182, -6.687e-12
0.183, -6.768e-12
0.184, -6.835e-12
0.185, -6.948e-12
0.186, -7.199e-12
0.187, -7.207e-12
0.188, -7.258e-12
0.189, -7.452e-12
0.190, -7.510e-12
0.191, -7.652e-12
0.192, -7.818e-12
0.193, -7.911e-12
0.194, -8.086e-12
0.195, -8.096e-12
0.196, -8.057e-12
0.197, -8.178e-12
0.198, -8.285e-12
0.199, -8.325e-12
0.200, -8.411e-12
0.201, -8.608e-12
0.202, -8.741e-12
0.203, -8.778e-12
0.204, -8.991e-12
0.205, -9.062e-12
0.206, -9.208e-12
0.207, -9.353e-12
0.208, -9.486e-12
0.209, -9.547e-12
0.210, -9.567e-12
0.211, -9.722e-12
0.212, -9.922e-12
0.213, -1.006e-11
0.214, -1.016e-11
0.215, -1.028e-11
0.216, -1.042e-11
0.217, -1.054e-11
0.218, -1.064e-11
0.219, -1.076e-11
0.220, -1.087e-11
0.221, -1.098e-11
0.222, -1.112e-11
0.223, -1.124e-11
0.224, -1.136e-11
0.225, -1.144e-11
0.226, -1.160e-11
0.227, -1.173e-11
0.228, -1.188e-11
0.229, -1.202e-11
0.230, -1.216e-11
0.231, -1.230e-11
0.232, -1.247e-11
0.233, -1.256e-11
0.234, -1.264e-11
0.235, -1.273e-11
0.236, -1.286e-11
0.237, -1.307e-11
0.238, -1.320e-11
0.239, -1.339e-11
0.240, -1.359e-11
0.241, -1.370e-11
0.242, -1.383e-11
0.243, -1.395e-11
0.244, -1.411e-11
0.245, -1.429e-11
0.246, -1.441e-11
0.247, -1.456e-11
0.248, -1.468e-11
0.249, -1.483e-11
0.250, -1.501e-11
0.251, -1.523e-11
0.252, -1.542e-11
0.253, -1.562e-11
0.254, -1.576e-11
0.255, -1.595e-11
0.256, -1.614e-11
0.257, -1.632e-11
0.258, -1.652e-11
0.259, -1.672e-11
0.260, -1.681e-11
0.261, -1.702e-11
0.262, -1.733e-11
0.263, -1.745e-11
0.264, -1.764e-11
