May 25, 2023   21:05:46
Cyclic Voltammetry
File: c:/users/mapence2/desktop/data/2023_05_24\expt5\mix_3\cv_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CV
Note: 

Init E (V) = 0
High E (V) = 0.7
Low E (V) = 0
Final E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.005
Segment = 3
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:
Segment 1:

Segment 2:

Segment 3:

Potential/V, Current/A

0.000, 1.107e-11
0.001, 8.891e-12
0.002, 7.552e-12
0.003, 6.672e-12
0.004, 5.817e-12
0.005, 5.253e-12
0.006, 4.620e-12
0.007, 3.922e-12
0.008, 3.811e-12
0.009, 3.465e-12
0.010, 3.196e-12
0.011, 2.904e-12
0.012, 2.684e-12
0.013, 2.517e-12
0.014, 2.174e-12
0.015, 2.188e-12
0.016, 2.019e-12
0.017, 1.817e-12
0.018, 1.631e-12
0.019, 1.381e-12
0.020, 1.367e-12
0.021, 1.232e-12
0.022, 1.118e-12
0.023, 1.088e-12
0.024, 9.506e-13
0.025, 6.419e-13
0.026, 7.994e-13
0.027, 7.167e-13
0.028, 7.931e-13
0.029, 6.978e-13
0.030, 6.285e-13
0.031, 5.836e-13
0.032, 6.277e-13
0.033, 5.269e-13
0.034, 3.355e-13
0.035, 2.717e-13
0.036, 4.245e-13
0.037, 3.867e-13
0.038, 2.788e-13
0.039, 3.371e-13
0.040, 3.268e-13
0.041, 2.473e-13
0.042, 2.631e-13
0.043, 2.961e-13
0.044, 2.095e-13
0.045, 2.048e-13
0.046, 1.189e-13
0.047, 1.189e-13
0.048, -1.339e-14
0.049, -1.709e-13
0.050, -2.961e-13
0.051, -1.536e-13
0.052, -5.828e-14
0.053, -2.323e-13
0.054, -1.402e-13
0.055, -1.599e-13
0.056, -1.654e-13
0.057, -2.512e-13
0.058, -2.119e-13
0.059, -1.654e-13
0.060, -1.914e-13
0.061, -1.489e-13
0.062, -2.056e-13
0.063, -2.189e-13
0.064, -2.843e-13
0.065, -4.174e-13
0.066, -4.032e-13
0.067, -4.631e-13
0.068, -4.135e-13
0.069, -4.111e-13
0.070, -4.544e-13
0.071, -5.552e-13
0.072, -5.545e-13
0.073, -5.419e-13
0.074, -5.474e-13
0.075, -6.049e-13
0.076, -6.127e-13
0.077, -6.584e-13
0.078, -7.372e-13
0.079, -7.466e-13
0.080, -7.490e-13
0.081, -7.175e-13
0.082, -6.884e-13
0.083, -8.923e-13
0.084, -9.805e-13
0.085, -1.047e-12
0.086, -1.011e-12
0.087, -9.884e-13
0.088, -1.007e-12
0.089, -9.845e-13
0.090, -1.129e-12
0.091, -1.122e-12
0.092, -1.032e-12
0.093, -9.664e-13
0.094, -1.059e-12
0.095, -1.147e-12
0.096, -1.207e-12
0.097, -1.245e-12
0.098, -1.277e-12
0.099, -1.325e-12
0.100, -1.329e-12
0.101, -1.439e-12
0.102, -1.455e-12
0.103, -1.411e-12
0.104, -1.575e-12
0.105, -1.629e-12
0.106, -1.639e-12
0.107, -1.595e-12
0.108, -1.595e-12
0.109, -1.699e-12
0.110, -1.753e-12
0.111, -1.785e-12
0.112, -1.828e-12
0.113, -1.875e-12
0.114, -1.892e-12
0.115, -1.933e-12
0.116, -1.949e-12
0.117, -2.010e-12
0.118, -1.971e-12
0.119, -1.967e-12
0.120, -2.124e-12
0.121, -2.273e-12
0.122, -2.287e-12
0.123, -2.345e-12
0.124, -2.403e-12
0.125, -2.451e-12
0.126, -2.508e-12
0.127, -2.545e-12
0.128, -2.600e-12
0.129, -2.668e-12
0.130, -2.700e-12
0.131, -2.726e-12
0.132, -2.810e-12
0.133, -2.894e-12
0.134, -2.905e-12
0.135, -2.915e-12
0.136, -3.005e-12
0.137, -3.118e-12
