May 24, 2023   17:18:56
Cyclic Voltammetry
File: c:/users/mapence2/desktop/data/2023_05_24\expt1\mix_3\cv_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CV
Note: 

Init E (V) = 0
High E (V) = 0.7
Low E (V) = 0
Final E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.005
Segment = 3
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:
Segment 1:

Segment 2:

Segment 3:

Potential/V, Current/A

0.000, 4.504e-12
0.001, 3.813e-12
0.002, 3.494e-12
0.003, 3.463e-12
0.004, 3.505e-12
0.005, 3.395e-12
0.006, 3.286e-12
0.007, 3.196e-12
0.008, 2.951e-12
0.009, 2.752e-12
0.010, 2.542e-12
0.011, 2.342e-12
0.012, 2.206e-12
0.013, 2.061e-12
0.014, 1.944e-12
0.015, 1.791e-12
0.016, 1.608e-12
0.017, 1.401e-12
0.018, 1.229e-12
0.019, 1.163e-12
0.020, 1.006e-12
0.021, 8.837e-13
0.022, 7.096e-13
0.023, 6.183e-13
0.024, 4.631e-13
0.025, 3.276e-13
0.026, 2.607e-13
0.027, 2.315e-13
0.028, 1.126e-13
0.029, 1.733e-14
0.030, -6.931e-14
0.031, -1.756e-13
0.032, -2.221e-13
0.033, -3.284e-13
0.034, -4.174e-13
0.035, -4.741e-13
0.036, -6.505e-13
0.037, -6.679e-13
0.038, -8.096e-13
0.039, -9.569e-13
0.040, -9.207e-13
0.041, -1.047e-12
0.042, -1.102e-12
0.043, -1.226e-12
0.044, -1.270e-12
0.045, -1.386e-12
0.046, -1.416e-12
0.047, -1.486e-12
0.048, -1.605e-12
0.049, -1.664e-12
0.050, -1.726e-12
0.051, -1.796e-12
0.052, -1.898e-12
0.053, -1.988e-12
0.054, -2.038e-12
0.055, -2.169e-12
0.056, -2.266e-12
0.057, -2.291e-12
0.058, -2.375e-12
0.059, -2.463e-12
0.060, -2.537e-12
0.061, -2.594e-12
0.062, -2.662e-12
0.063, -2.705e-12
0.064, -2.783e-12
0.065, -2.901e-12
0.066, -2.935e-12
0.067, -2.988e-12
0.068, -3.089e-12
0.069, -3.167e-12
0.070, -3.174e-12
0.071, -3.248e-12
0.072, -3.417e-12
0.073, -3.413e-12
0.074, -3.500e-12
0.075, -3.599e-12
0.076, -3.658e-12
0.077, -3.691e-12
0.078, -3.785e-12
0.079, -3.859e-12
0.080, -3.965e-12
0.081, -4.000e-12
0.082, -4.065e-12
0.083, -4.180e-12
0.084, -4.279e-12
0.085, -4.355e-12
0.086, -4.394e-12
0.087, -4.485e-12
0.088, -4.485e-12
0.089, -4.644e-12
0.090, -4.732e-12
0.091, -4.726e-12
0.092, -4.841e-12
0.093, -4.928e-12
0.094, -4.939e-12
0.095, -5.026e-12
0.096, -5.011e-12
0.097, -5.175e-12
0.098, -5.254e-12
0.099, -5.301e-12
0.100, -5.353e-12
0.101, -5.412e-12
0.102, -5.486e-12
0.103, -5.602e-12
0.104, -5.667e-12
0.105, -5.771e-12
0.106, -5.851e-12
0.107, -5.829e-12
0.108, -5.880e-12
0.109, -5.862e-12
0.110, -5.563e-12
0.111, -5.686e-12
0.112, -5.969e-12
0.113, -6.194e-12
0.114, -6.284e-12
0.115, -6.407e-12
0.116, -6.535e-12
0.117, -6.628e-12
0.118, -6.674e-12
0.119, -6.785e-12
0.120, -6.806e-12
0.121, -6.941e-12
0.122, -7.064e-12
0.123, -7.134e-12
0.124, -7.174e-12
0.125, -7.241e-12
0.126, -7.342e-12
0.127, -7.416e-12
0.128, -7.520e-12
0.129, -7.632e-12
0.130, -7.684e-12
0.131, -7.816e-12
0.132, -7.958e-12
0.133, -7.990e-12
0.134, -8.048e-12
0.135, -8.127e-12
0.136, -8.201e-12
0.137, -8.331e-12
0.138, -8.462e-12
0.139, -8.563e-12
0.140, -8.671e-12
0.141, -8.718e-12
0.142, -8.804e-12
0.143, -8.867e-12
0.144, -8.935e-12
0.145, -9.048e-12
0.146, -9.129e-12
0.147, -9.245e-12
0.148, -9.380e-12
0.149, -9.499e-12
0.150, -9.542e-12
0.151, -9.697e-12
0.152, -9.764e-12
0.153, -9.809e-12
0.154, -9.941e-12
0.155, -1.009e-11
0.156, -1.017e-11
0.157, -1.028e-11
0.158, -1.033e-11
0.159, -1.042e-11
0.160, -1.051e-11
0.161, -1.065e-11
0.162, -1.076e-11
0.163, -1.085e-11
0.164, -1.095e-11
0.165, -1.107e-11
0.166, -1.117e-11
0.167, -1.123e-11
0.168, -1.133e-11
0.169, -1.141e-11
0.170, -1.156e-11
0.171, -1.168e-11
0.172, -1.178e-11
0.173, -1.190e-11
0.174, -1.201e-11
0.175, -1.211e-11
0.176, -1.220e-11
0.177, -1.232e-11
0.178, -1.244e-11
0.179, -1.257e-11
0.180, -1.265e-11
0.181, -1.277e-11
0.182, -1.284e-11
0.183, -1.291e-11
0.184, -1.303e-11
0.185, -1.289e-11
0.186, -1.320e-11
0.187, -1.339e-11
0.188, -1.355e-11
0.189, -1.369e-11
0.190, -1.381e-11
0.191, -1.394e-11
0.192, -1.405e-11
0.193, -1.414e-11
0.194, -1.426e-11
0.195, -1.440e-11
0.196, -1.453e-11
0.197, -1.465e-11
0.198, -1.478e-11
0.199, -1.488e-11
0.200, -1.501e-11
0.201, -1.516e-11
0.202, -1.529e-11
0.203, -1.549e-11
0.204, -1.557e-11
0.205, -1.570e-11
0.206, -1.586e-11
0.207, -1.603e-11
0.208, -1.615e-11
0.209, -1.623e-11
0.210, -1.635e-11
0.211, -1.650e-11
0.212, -1.657e-11
0.213, -1.666e-11
0.214, -1.664e-11
0.215, -1.681e-11
0.216, -1.703e-11
0.217, -1.721e-11
0.218, -1.739e-11
0.219, -1.756e-11
0.220, -1.768e-11
0.221, -1.784e-11
0.222, -1.793e-11
0.223, -1.772e-11
0.224, -1.795e-11
0.225, -1.833e-11
0.226, -1.850e-11
0.227, -1.865e-11
0.228, -1.881e-11
0.229, -1.892e-11
0.230, -1.908e-11
0.231, -1.923e-11
0.232, -1.936e-11
0.233, -1.951e-11
0.234, -1.965e-11
0.235, -1.979e-11
0.236, -1.993e-11
0.237, -2.012e-11
0.238, -2.028e-11
0.239, -2.040e-11
0.240, -2.066e-11
0.241, -2.072e-11
0.242, -2.084e-11
0.243, -2.100e-11
0.244, -2.117e-11
0.245, -2.134e-11
0.246, -2.150e-11
0.247, -2.163e-11
0.248, -2.180e-11
0.249, -2.193e-11
0.250, -2.210e-11
0.251, -2.222e-11
0.252, -2.240e-11
0.253, -2.255e-11
0.254, -2.271e-11
0.255, -2.290e-11
0.256, -2.305e-11
0.257, -2.334e-11
0.258, -2.345e-11
0.259, -2.357e-11
0.260, -2.379e-11
0.261, -2.393e-11
0.262, -2.405e-11
0.263, -2.426e-11
0.264, -2.449e-11
0.265, -2.464e-11
0.266, -2.479e-11
0.267, -2.500e-11
0.268, -2.517e-11
0.269, -2.533e-11
0.270, -2.553e-11
0.271, -2.567e-11
0.272, -2.590e-11
0.273, -2.619e-11
0.274, -2.642e-11
0.275, -2.656e-11
0.276, -2.671e-11
0.277, -2.686e-11
0.278, -2.706e-11
0.279, -2.729e-11
0.280, -2.744e-11
0.281, -2.774e-11
0.282, -2.795e-11
0.283, -2.814e-11
0.284, -2.837e-11
0.285, -2.860e-11
0.286, -2.879e-11
0.287, -2.898e-11
0.288, -2.922e-11
0.289, -2.946e-11
0.290, -2.970e-11
0.291, -2.996e-11
0.292, -3.015e-11
0.293, -3.030e-11
0.294, -3.061e-11
0.295, -3.078e-11
0.296, -3.090e-11
0.297, -3.111e-11
0.298, -3.143e-11
0.299, -3.174e-11
0.300, -3.205e-11
0.301, -3.228e-11
0.302, -3.254e-11
0.303, -3.276e-11
0.304, -3.302e-11
0.305, -3.330e-11
0.306, -3.360e-11
0.307, -3.393e-11
0.308, -3.416e-11
0.309, -3.441e-11
0.310, -3.464e-11
0.311, -3.489e-11
0.312, -3.514e-11
0.313, -3.545e-11
0.314, -3.575e-11
0.315, -3.601e-11
0.316, -3.631e-11
0.317, -3.663e-11
0.318, -3.694e-11
0.319, -3.723e-11
0.320, -3.749e-11
0.321, -3.781e-11
0.322, -3.814e-11
0.323, -3.847e-11
0.324, -3.886e-11
0.325, -3.910e-11
0.326, -3.939e-11
0.327, -3.973e-11
0.328, -4.009e-11
0.329, -4.045e-11
0.330, -4.076e-11
0.331, -4.113e-11
0.332, -4.134e-11
0.333, -4.160e-11
0.334, -4.213e-11
0.335, -4.250e-11
0.336, -4.284e-11
0.337, -4.325e-11
0.338, -4.359e-11
0.339, -4.399e-11
0.340, -4.444e-11
0.341, -4.488e-11
0.342, -4.522e-11
0.343, -4.559e-11
0.344, -4.601e-11
0.345, -4.642e-11
0.346, -4.677e-11
0.347, -4.718e-11
0.348, -4.755e-11
0.349, -4.800e-11
0.350, -4.840e-11
0.351, -4.880e-11
0.352, -4.921e-11
0.353, -4.964e-11
0.354, -5.009e-11
0.355, -5.056e-11
0.356, -5.097e-11
0.357, -5.140e-11
0.358, -5.190e-11
0.359, -5.225e-11
0.360, -5.270e-11
0.361, -5.312e-11
0.362, -5.357e-11
0.363, -5.403e-11
0.364, -5.450e-11
