May 24, 2023   18:04:46
Amperometric i-t Curve
File: c:/users/mapence2/desktop/data/2023_05_24\expt1\mix_5\it_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CA
Note: 

Init E (V) = 0.7
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, -3.641e-10
2.000e-1, -3.591e-10
3.000e-1, -3.545e-10
4.000e-1, -3.502e-10
5.000e-1, -3.464e-10
6.000e-1, -3.428e-10
7.000e-1, -3.395e-10
8.000e-1, -3.365e-10
9.000e-1, -3.337e-10
1.000e+0, -3.312e-10
1.100e+0, -3.288e-10
1.200e+0, -3.264e-10
1.300e+0, -3.243e-10
1.400e+0, -3.223e-10
1.500e+0, -3.203e-10
1.600e+0, -3.186e-10
1.700e+0, -3.169e-10
1.800e+0, -3.152e-10
1.900e+0, -3.137e-10
2.000e+0, -3.122e-10
2.100e+0, -3.108e-10
2.200e+0, -3.097e-10
2.300e+0, -3.085e-10
2.400e+0, -3.075e-10
2.500e+0, -3.064e-10
2.600e+0, -3.054e-10
2.700e+0, -3.044e-10
2.800e+0, -3.034e-10
2.900e+0, -3.024e-10
3.000e+0, -3.015e-10
3.100e+0, -3.005e-10
3.200e+0, -2.995e-10
3.300e+0, -2.988e-10
3.400e+0, -2.980e-10
3.500e+0, -2.971e-10
3.600e+0, -2.962e-10
3.700e+0, -2.954e-10
3.800e+0, -2.945e-10
3.900e+0, -2.936e-10
4.000e+0, -2.928e-10
4.100e+0, -2.921e-10
4.200e+0, -2.913e-10
4.300e+0, -2.906e-10
4.400e+0, -2.900e-10
4.500e+0, -2.893e-10
4.600e+0, -2.887e-10
4.700e+0, -2.879e-10
4.800e+0, -2.874e-10
4.900e+0, -2.867e-10
5.000e+0, -2.860e-10
5.100e+0, -2.854e-10
5.200e+0, -2.847e-10
5.300e+0, -2.841e-10
5.400e+0, -2.835e-10
5.500e+0, -2.830e-10
5.600e+0, -2.824e-10
5.700e+0, -2.818e-10
5.800e+0, -2.813e-10
5.900e+0, -2.808e-10
6.000e+0, -2.802e-10
6.100e+0, -2.797e-10
6.200e+0, -2.792e-10
6.300e+0, -2.786e-10
6.400e+0, -2.781e-10
6.500e+0, -2.776e-10
6.600e+0, -2.772e-10
6.700e+0, -2.768e-10
6.800e+0, -2.763e-10
6.900e+0, -2.758e-10
7.000e+0, -2.753e-10
7.100e+0, -2.748e-10
7.200e+0, -2.745e-10
7.300e+0, -2.741e-10
7.400e+0, -2.737e-10
7.500e+0, -2.734e-10
7.600e+0, -2.730e-10
7.700e+0, -2.726e-10
7.800e+0, -2.722e-10
7.900e+0, -2.719e-10
8.000e+0, -2.715e-10
8.100e+0, -2.712e-10
8.200e+0, -2.709e-10
8.300e+0, -2.706e-10
8.400e+0, -2.703e-10
8.500e+0, -2.700e-10
8.600e+0, -2.697e-10
8.700e+0, -2.695e-10
8.800e+0, -2.691e-10
8.900e+0, -2.688e-10
9.000e+0, -2.686e-10
9.100e+0, -2.682e-10
9.200e+0, -2.680e-10
9.300e+0, -2.678e-10
9.400e+0, -2.676e-10
9.500e+0, -2.673e-10
9.600e+0, -2.671e-10
9.700e+0, -2.668e-10
9.800e+0, -2.667e-10
9.900e+0, -2.665e-10
1.000e+1, -2.663e-10
1.010e+1, -2.660e-10
1.020e+1, -2.656e-10
1.030e+1, -2.654e-10
1.040e+1, -2.652e-10
1.050e+1, -2.651e-10
1.060e+1, -2.650e-10
1.070e+1, -2.648e-10
1.080e+1, -2.646e-10
1.090e+1, -2.644e-10
1.100e+1, -2.642e-10
1.110e+1, -2.640e-10
1.120e+1, -2.638e-10
1.130e+1, -2.636e-10
1.140e+1, -2.636e-10
1.150e+1, -2.634e-10
1.160e+1, -2.632e-10
1.170e+1, -2.630e-10
1.180e+1, -2.629e-10
1.190e+1, -2.627e-10
1.200e+1, -2.624e-10
1.210e+1, -2.623e-10
1.220e+1, -2.621e-10
1.230e+1, -2.619e-10
1.240e+1, -2.617e-10
1.250e+1, -2.615e-10
1.260e+1, -2.613e-10
1.270e+1, -2.610e-10
1.280e+1, -2.607e-10
1.290e+1, -2.605e-10
1.300e+1, -2.603e-10
1.310e+1, -2.600e-10
1.320e+1, -2.599e-10
1.330e+1, -2.598e-10
1.340e+1, -2.597e-10
1.350e+1, -2.594e-10
1.360e+1, -2.590e-10
1.370e+1, -2.588e-10
1.380e+1, -2.587e-10
1.390e+1, -2.587e-10
1.400e+1, -2.586e-10
1.410e+1, -2.584e-10
1.420e+1, -2.583e-10
1.430e+1, -2.582e-10
1.440e+1, -2.581e-10
1.450e+1, -2.579e-10
1.460e+1, -2.577e-10
1.470e+1, -2.575e-10
1.480e+1, -2.574e-10
1.490e+1, -2.573e-10
1.500e+1, -2.572e-10
1.510e+1, -2.571e-10
1.520e+1, -2.570e-10
1.530e+1, -2.569e-10
1.540e+1, -2.568e-10
1.550e+1, -2.567e-10
1.560e+1, -2.566e-10
1.570e+1, -2.564e-10
1.580e+1, -2.564e-10
1.590e+1, -2.564e-10
1.600e+1, -2.564e-10
1.610e+1, -2.563e-10
1.620e+1, -2.563e-10
1.630e+1, -2.560e-10
1.640e+1, -2.558e-10
1.650e+1, -2.557e-10
1.660e+1, -2.557e-10
1.670e+1, -2.558e-10
1.680e+1, -2.558e-10
1.690e+1, -2.558e-10
1.700e+1, -2.558e-10
1.710e+1, -2.558e-10
1.720e+1, -2.559e-10
1.730e+1, -2.559e-10
1.740e+1, -2.558e-10
1.750e+1, -2.557e-10
1.760e+1, -2.556e-10
1.770e+1, -2.554e-10
1.780e+1, -2.554e-10
1.790e+1, -2.554e-10
1.800e+1, -2.556e-10
1.810e+1, -2.556e-10
1.820e+1, -2.555e-10
1.830e+1, -2.552e-10
1.840e+1, -2.551e-10
1.850e+1, -2.551e-10
1.860e+1, -2.552e-10
1.870e+1, -2.550e-10
1.880e+1, -2.550e-10
1.890e+1, -2.550e-10
1.900e+1, -2.552e-10
1.910e+1, -2.557e-10
1.920e+1, -2.555e-10
1.930e+1, -2.552e-10
1.940e+1, -2.551e-10
1.950e+1, -2.552e-10
1.960e+1, -2.553e-10
1.970e+1, -2.553e-10
1.980e+1, -2.552e-10
1.990e+1, -2.551e-10
2.000e+1, -2.552e-10
2.010e+1, -2.552e-10
2.020e+1, -2.551e-10
2.030e+1, -2.551e-10
2.040e+1, -2.551e-10
2.050e+1, -2.550e-10
2.060e+1, -2.549e-10
2.070e+1, -2.548e-10
2.080e+1, -2.548e-10
2.090e+1, -2.548e-10
2.100e+1, -2.547e-10
2.110e+1, -2.547e-10
2.120e+1, -2.545e-10
2.130e+1, -2.544e-10
2.140e+1, -2.542e-10
2.150e+1, -2.542e-10
2.160e+1, -2.542e-10
2.170e+1, -2.539e-10
2.180e+1, -2.538e-10
2.190e+1, -2.536e-10
2.200e+1, -2.534e-10
2.210e+1, -2.534e-10
2.220e+1, -2.533e-10
2.230e+1, -2.533e-10
2.240e+1, -2.532e-10
2.250e+1, -2.531e-10
2.260e+1, -2.530e-10
2.270e+1, -2.530e-10
2.280e+1, -2.530e-10
2.290e+1, -2.530e-10
2.300e+1, -2.532e-10
2.310e+1, -2.530e-10
2.320e+1, -2.530e-10
2.330e+1, -2.530e-10
2.340e+1, -2.530e-10
2.350e+1, -2.531e-10
2.360e+1, -2.531e-10
2.370e+1, -2.531e-10
2.380e+1, -2.530e-10
2.390e+1, -2.528e-10
2.400e+1, -2.527e-10
2.410e+1, -2.527e-10
2.420e+1, -2.525e-10
2.430e+1, -2.525e-10
2.440e+1, -2.525e-10
2.450e+1, -2.524e-10
2.460e+1, -2.523e-10
2.470e+1, -2.524e-10
2.480e+1, -2.522e-10
