May 25, 2023   13:23:44
Amperometric i-t Curve
File: c:/users/mapence2/desktop/data/2023_05_24\expt3\mix_4\it_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CA
Note: 

Init E (V) = 0.7
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, -4.538e-10
2.000e-1, -4.484e-10
3.000e-1, -4.435e-10
4.000e-1, -4.390e-10
5.000e-1, -4.347e-10
6.000e-1, -4.308e-10
7.000e-1, -4.271e-10
8.000e-1, -4.237e-10
9.000e-1, -4.205e-10
1.000e+0, -4.175e-10
1.100e+0, -4.147e-10
1.200e+0, -4.120e-10
1.300e+0, -4.094e-10
1.400e+0, -4.072e-10
1.500e+0, -4.048e-10
1.600e+0, -4.027e-10
1.700e+0, -4.006e-10
1.800e+0, -3.986e-10
1.900e+0, -3.967e-10
2.000e+0, -3.949e-10
2.100e+0, -3.932e-10
2.200e+0, -3.915e-10
2.300e+0, -3.899e-10
2.400e+0, -3.884e-10
2.500e+0, -3.869e-10
2.600e+0, -3.856e-10
2.700e+0, -3.843e-10
2.800e+0, -3.829e-10
2.900e+0, -3.816e-10
3.000e+0, -3.804e-10
3.100e+0, -3.792e-10
3.200e+0, -3.781e-10
3.300e+0, -3.771e-10
3.400e+0, -3.760e-10
3.500e+0, -3.750e-10
3.600e+0, -3.739e-10
3.700e+0, -3.730e-10
3.800e+0, -3.721e-10
3.900e+0, -3.712e-10
4.000e+0, -3.703e-10
4.100e+0, -3.695e-10
4.200e+0, -3.686e-10
4.300e+0, -3.678e-10
4.400e+0, -3.671e-10
4.500e+0, -3.663e-10
4.600e+0, -3.655e-10
4.700e+0, -3.648e-10
4.800e+0, -3.641e-10
4.900e+0, -3.634e-10
5.000e+0, -3.627e-10
5.100e+0, -3.620e-10
5.200e+0, -3.614e-10
5.300e+0, -3.609e-10
5.400e+0, -3.603e-10
5.500e+0, -3.597e-10
5.600e+0, -3.591e-10
5.700e+0, -3.584e-10
5.800e+0, -3.579e-10
5.900e+0, -3.575e-10
6.000e+0, -3.570e-10
6.100e+0, -3.566e-10
6.200e+0, -3.562e-10
6.300e+0, -3.558e-10
6.400e+0, -3.553e-10
6.500e+0, -3.549e-10
6.600e+0, -3.543e-10
6.700e+0, -3.538e-10
6.800e+0, -3.533e-10
6.900e+0, -3.529e-10
7.000e+0, -3.524e-10
7.100e+0, -3.519e-10
7.200e+0, -3.513e-10
7.300e+0, -3.509e-10
7.400e+0, -3.504e-10
7.500e+0, -3.500e-10
7.600e+0, -3.494e-10
7.700e+0, -3.491e-10
7.800e+0, -3.486e-10
7.900e+0, -3.481e-10
8.000e+0, -3.478e-10
8.100e+0, -3.475e-10
