May 25, 2023   13:23:08
Cyclic Voltammetry
File: c:/users/mapence2/desktop/data/2023_05_24\expt3\mix_4\cv_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CV
Note: 

Init E (V) = 0
High E (V) = 0.7
Low E (V) = 0
Final E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.005
Segment = 3
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:
Segment 1:

Segment 2:

Segment 3:

Potential/V, Current/A

0.000, 2.928e-11
0.001, 2.628e-11
0.002, 2.430e-11
0.003, 2.281e-11
0.004, 2.148e-11
0.005, 2.026e-11
0.006, 1.928e-11
0.007, 1.841e-11
0.008, 1.754e-11
0.009, 1.678e-11
0.010, 1.617e-11
0.011, 1.560e-11
0.012, 1.500e-11
0.013, 1.449e-11
0.014, 1.399e-11
0.015, 1.356e-11
0.016, 1.308e-11
0.017, 1.267e-11
0.018, 1.232e-11
0.019, 1.196e-11
0.020, 1.152e-11
0.021, 1.111e-11
0.022, 1.082e-11
0.023, 1.058e-11
0.024, 1.026e-11
0.025, 9.967e-12
0.026, 9.634e-12
0.027, 9.349e-12
0.028, 9.075e-12
0.029, 8.784e-12
0.030, 8.454e-12
0.031, 8.257e-12
0.032, 8.033e-12
0.033, 7.708e-12
0.034, 7.437e-12
0.035, 7.295e-12
0.036, 7.002e-12
0.037, 6.700e-12
0.038, 6.537e-12
0.039, 6.256e-12
0.040, 6.031e-12
0.041, 5.730e-12
0.042, 5.467e-12
0.043, 5.214e-12
0.044, 5.044e-12
0.045, 4.875e-12
0.046, 4.570e-12
0.047, 4.363e-12
0.048, 4.224e-12
0.049, 3.922e-12
0.050, 3.676e-12
0.051, 3.484e-12
0.052, 3.160e-12
0.053, 2.990e-12
0.054, 2.875e-12
0.055, 2.675e-12
0.056, 2.415e-12
0.057, 2.174e-12
0.058, 1.945e-12
0.059, 1.774e-12
0.060, 1.579e-12
0.061, 1.248e-12
0.062, 1.058e-12
0.063, 9.333e-13
0.064, 7.073e-13
0.065, 5.230e-13
0.066, 3.457e-13
0.067, 1.410e-13
0.068, -1.922e-13
0.069, -2.938e-13
0.070, -3.859e-13
0.071, -4.907e-13
0.072, -8.600e-13
0.073, -1.126e-12
0.074, -1.228e-12
0.075, -1.408e-12
0.076, -1.672e-12
0.077, -1.808e-12
0.078, -2.008e-12
0.079, -2.294e-12
0.080, -2.530e-12
0.081, -2.739e-12
0.082, -2.924e-12
0.083, -3.070e-12
0.084, -3.254e-12
0.085, -3.365e-12
0.086, -3.584e-12
0.087, -3.844e-12
0.088, -4.052e-12
0.089, -4.196e-12
0.090, -4.478e-12
0.091, -4.711e-12
0.092, -4.898e-12
0.093, -5.061e-12
0.094, -5.308e-12
0.095, -5.438e-12
0.096, -5.608e-12
0.097, -5.818e-12
0.098, -6.049e-12
0.099, -6.213e-12
0.100, -6.368e-12
0.101, -6.702e-12
0.102, -6.856e-12
0.103, -6.968e-12
0.104, -7.248e-12
0.105, -7.430e-12
0.106, -7.670e-12
0.107, -7.853e-12
0.108, -8.083e-12
0.109, -8.324e-12
0.110, -8.585e-12
0.111, -8.697e-12
0.112, -8.978e-12
0.113, -9.234e-12
0.114, -9.361e-12
0.115, -9.599e-12
0.116, -9.926e-12
0.117, -1.009e-11
0.118, -1.031e-11
0.119, -1.047e-11
0.120, -1.070e-11
0.121, -1.095e-11
0.122, -1.112e-11
0.123, -1.136e-11
0.124, -1.171e-11
0.125, -1.180e-11
0.126, -1.202e-11
0.127, -1.217e-11
0.128, -1.236e-11
0.129, -1.261e-11
0.130, -1.286e-11
0.131, -1.313e-11
0.132, -1.328e-11
0.133, -1.348e-11
0.134, -1.373e-11
0.135, -1.394e-11
0.136, -1.416e-11
0.137, -1.442e-11
0.138, -1.467e-11
0.139, -1.492e-11
0.140, -1.517e-11
0.141, -1.538e-11
0.142, -1.566e-11
0.143, -1.587e-11
0.144, -1.615e-11
0.145, -1.641e-11
0.146, -1.658e-11
0.147, -1.679e-11
0.148, -1.711e-11
0.149, -1.740e-11
0.150, -1.763e-11
0.151, -1.786e-11
0.152, -1.816e-11
0.153, -1.838e-11
0.154, -1.873e-11
0.155, -1.898e-11
0.156, -1.923e-11
0.157, -1.954e-11
0.158, -1.977e-11
0.159, -2.004e-11
0.160, -2.033e-11
0.161, -2.060e-11
0.162, -2.083e-11
0.163, -2.103e-11
0.164, -2.130e-11
0.165, -2.164e-11
0.166, -2.190e-11
0.167, -2.219e-11
0.168, -2.247e-11
0.169, -2.276e-11
0.170, -2.302e-11
0.171, -2.333e-11
0.172, -2.370e-11
0.173, -2.393e-11
0.174, -2.416e-11
0.175, -2.444e-11
0.176, -2.478e-11
0.177, -2.498e-11
0.178, -2.527e-11
0.179, -2.571e-11
0.180, -2.595e-11
0.181, -2.630e-11
0.182, -2.662e-11
0.183, -2.690e-11
0.184, -2.722e-11
0.185, -2.747e-11
0.186, -2.778e-11
0.187, -2.810e-11
0.188, -2.840e-11
0.189, -2.869e-11
0.190, -2.901e-11
0.191, -2.930e-11
0.192, -2.958e-11
0.193, -2.994e-11
