May 25, 2023   12:37:54
Cyclic Voltammetry
File: c:/users/mapence2/desktop/data/2023_05_24\expt3\mix_2\cv_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CV
Note: 

Init E (V) = 0
High E (V) = 0.7
Low E (V) = 0
Final E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.005
Segment = 3
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:
Segment 1:

Segment 2:

Segment 3:

Potential/V, Current/A

0.000, 2.112e-11
0.001, 1.920e-11
0.002, 1.787e-11
0.003, 1.684e-11
0.004, 1.595e-11
0.005, 1.520e-11
0.006, 1.455e-11
0.007, 1.392e-11
0.008, 1.333e-11
0.009, 1.287e-11
0.010, 1.245e-11
0.011, 1.204e-11
0.012, 1.160e-11
0.013, 1.120e-11
0.014, 1.082e-11
0.015, 1.050e-11
0.016, 1.021e-11
0.017, 9.847e-12
0.018, 9.611e-12
0.019, 9.331e-12
0.020, 9.033e-12
0.021, 8.682e-12
0.022, 8.426e-12
0.023, 8.090e-12
0.024, 7.712e-12
0.025, 7.392e-12
0.026, 7.205e-12
0.027, 6.944e-12
0.028, 6.734e-12
0.029, 6.745e-12
0.030, 6.532e-12
0.031, 6.376e-12
0.032, 6.142e-12
0.033, 5.560e-12
0.034, 5.412e-12
0.035, 5.278e-12
0.036, 4.999e-12
0.037, 4.818e-12
0.038, 4.751e-12
0.039, 4.638e-12
0.040, 4.429e-12
0.041, 4.261e-12
0.042, 4.021e-12
0.043, 3.802e-12
0.044, 3.667e-12
0.045, 3.465e-12
0.046, 3.227e-12
0.047, 2.961e-12
0.048, 2.702e-12
0.049, 2.521e-12
0.050, 2.327e-12
0.051, 2.138e-12
0.052, 1.982e-12
0.053, 1.796e-12
0.054, 1.521e-12
0.055, 1.285e-12
0.056, 1.148e-12
0.057, 9.317e-13
0.058, 7.419e-13
0.059, 5.781e-13
0.060, 3.662e-13
0.061, 1.788e-13
0.062, -1.418e-14
0.063, -2.276e-13
0.064, -4.859e-13
0.065, -6.899e-13
0.066, -7.844e-13
0.067, -1.005e-12
0.068, -1.224e-12
0.069, -1.433e-12
0.070, -1.610e-12
0.071, -1.769e-12
0.072, -1.974e-12
0.073, -2.200e-12
0.074, -2.408e-12
0.075, -2.547e-12
0.076, -2.725e-12
0.077, -2.935e-12
0.078, -3.266e-12
0.079, -3.475e-12
0.080, -3.693e-12
0.081, -3.802e-12
0.082, -3.982e-12
0.083, -4.164e-12
0.084, -4.335e-12
0.085, -4.487e-12
0.086, -4.764e-12
0.087, -4.926e-12
0.088, -5.156e-12
0.089, -5.326e-12
0.090, -5.471e-12
0.091, -5.700e-12
0.092, -5.902e-12
0.093, -6.097e-12
0.094, -6.296e-12
0.095, -6.481e-12
0.096, -6.664e-12
0.097, -6.880e-12
0.098, -7.032e-12
0.099, -7.262e-12
0.100, -7.497e-12
0.101, -7.651e-12
0.102, -7.888e-12
0.103, -8.089e-12
0.104, -8.334e-12
0.105, -8.476e-12
0.106, -8.675e-12
0.107, -8.877e-12
0.108, -9.122e-12
0.109, -9.238e-12
0.110, -9.463e-12
0.111, -9.758e-12
0.112, -9.909e-12
0.113, -1.014e-11
0.114, -1.037e-11
0.115, -1.062e-11
0.116, -1.091e-11
0.117, -1.116e-11
0.118, -1.128e-11
0.119, -1.141e-11
0.120, -1.157e-11
0.121, -1.185e-11
0.122, -1.216e-11
0.123, -1.236e-11
0.124, -1.254e-11
0.125, -1.272e-11
0.126, -1.290e-11
0.127, -1.314e-11
0.128, -1.332e-11
0.129, -1.358e-11
0.130, -1.382e-11
0.131, -1.401e-11
0.132, -1.420e-11
0.133, -1.438e-11
0.134, -1.466e-11
0.135, -1.491e-11
0.136, -1.512e-11
0.137, -1.536e-11
0.138, -1.559e-11
0.139, -1.586e-11
0.140, -1.607e-11
0.141, -1.626e-11
0.142, -1.652e-11
0.143, -1.673e-11
0.144, -1.698e-11
0.145, -1.719e-11
0.146, -1.740e-11
0.147, -1.769e-11
0.148, -1.793e-11
0.149, -1.815e-11
0.150, -1.835e-11
0.151, -1.855e-11
0.152, -1.883e-11
0.153, -1.906e-11
0.154, -1.925e-11
0.155, -1.948e-11
0.156, -1.973e-11
0.157, -2.003e-11
0.158, -2.027e-11
0.159, -2.049e-11
0.160, -2.075e-11
0.161, -2.098e-11
0.162, -2.117e-11
0.163, -2.141e-11
0.164, -2.166e-11
0.165, -2.196e-11
0.166, -2.220e-11
0.167, -2.246e-11
0.168, -2.269e-11
0.169, -2.288e-11
0.170, -2.315e-11
0.171, -2.338e-11
0.172, -2.364e-11
0.173, -2.392e-11
0.174, -2.419e-11
0.175, -2.446e-11
0.176, -2.471e-11
0.177, -2.501e-11
