May 24, 2023   21:25:56
Cyclic Voltammetry
File: c:/users/mapence2/desktop/data/2023_05_24\expt2\mix_3\cv_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CV
Note: 

Init E (V) = 0
High E (V) = 0.7
Low E (V) = 0
Final E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.005
Segment = 3
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:
Segment 1:

Segment 2:

Segment 3:

Potential/V, Current/A

0.000, 3.076e-12
0.001, 2.478e-12
0.002, 2.098e-12
0.003, 1.950e-12
0.004, 1.792e-12
0.005, 1.593e-12
0.006, 1.392e-12
0.007, 1.259e-12
0.008, 1.103e-12
0.009, 1.122e-12
0.010, 1.059e-12
0.011, 8.616e-13
0.012, 6.624e-13
0.013, 6.246e-13
0.014, 4.844e-13
0.015, 4.269e-13
0.016, 4.694e-13
0.017, 3.513e-13
0.018, 2.827e-13
0.019, 3.245e-13
0.020, 3.284e-13
0.021, 2.449e-13
0.022, 3.938e-14
0.023, -8.427e-14
0.024, 3.150e-15
0.025, -3.544e-14
0.026, -9.530e-14
0.027, -1.268e-13
0.028, -1.945e-13
0.029, -2.292e-13
0.030, -2.284e-13
0.031, -4.371e-13
0.032, -4.970e-13
0.033, -4.828e-13
0.034, -4.670e-13
0.035, -4.663e-13
0.036, -5.387e-13
0.037, -5.962e-13
0.038, -7.325e-13
0.039, -7.569e-13
0.040, -7.104e-13
0.041, -7.403e-13
0.042, -7.789e-13
0.043, -8.191e-13
0.044, -8.939e-13
0.045, -9.349e-13
0.046, -9.971e-13
0.047, -1.025e-12
0.048, -1.073e-12
0.049, -1.113e-12
0.050, -1.114e-12
0.051, -1.155e-12
0.052, -1.218e-12
0.053, -1.248e-12
0.054, -1.297e-12
0.055, -1.292e-12
0.056, -1.352e-12
0.057, -1.370e-12
0.058, -1.424e-12
0.059, -1.465e-12
0.060, -1.518e-12
0.061, -1.567e-12
0.062, -1.591e-12
0.063, -1.562e-12
0.064, -1.656e-12
0.065, -1.675e-12
0.066, -1.695e-12
0.067, -1.754e-12
0.068, -1.823e-12
0.069, -1.817e-12
0.070, -1.839e-12
0.071, -1.952e-12
0.072, -2.033e-12
0.073, -2.051e-12
0.074, -2.089e-12
0.075, -2.137e-12
0.076, -2.141e-12
0.077, -2.199e-12
0.078, -2.207e-12
0.079, -2.234e-12
0.080, -2.364e-12
0.081, -2.370e-12
