May 25, 2023   21:51:00
Cyclic Voltammetry
File: c:/users/mapence2/desktop/data/2023_05_24\expt5\mix_5\cv_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CV
Note: 

Init E (V) = 0
High E (V) = 0.7
Low E (V) = 0
Final E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.005
Segment = 3
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:
Segment 1:

Segment 2:

Segment 3:

Potential/V, Current/A

0.000, 1.570e-11
0.001, 1.293e-11
0.002, 1.119e-11
0.003, 9.957e-12
0.004, 8.815e-12
0.005, 7.903e-12
0.006, 7.275e-12
0.007, 6.709e-12
0.008, 6.048e-12
0.009, 5.553e-12
0.010, 5.090e-12
0.011, 4.654e-12
0.012, 4.180e-12
0.013, 3.968e-12
0.014, 3.661e-12
0.015, 3.328e-12
0.016, 3.150e-12
0.017, 2.949e-12
0.018, 2.768e-12
0.019, 2.523e-12
0.020, 2.323e-12
0.021, 2.193e-12
0.022, 1.869e-12
0.023, 1.799e-12
0.024, 1.732e-12
0.025, 1.610e-12
0.026, 1.607e-12
0.027, 1.379e-12
0.028, 1.425e-12
0.029, 1.420e-12
0.030, 1.342e-12
0.031, 1.076e-12
0.032, 1.010e-12
0.033, 1.021e-12
0.034, 1.043e-12
0.035, 9.538e-13
0.036, 9.089e-13
0.037, 7.970e-13
0.038, 7.222e-13
0.039, 6.702e-13
0.040, 6.025e-13
0.041, 5.852e-13
0.042, 5.348e-13
0.043, 4.930e-13
0.044, 4.938e-13
0.045, 4.434e-13
0.046, 4.158e-13
0.047, 4.324e-13
0.048, 3.954e-13
0.049, 3.379e-13
0.050, 2.544e-13
0.051, 2.347e-13
0.052, 1.520e-13
0.053, 1.213e-13
0.054, 7.009e-14
0.055, 2.678e-14
0.056, -2.835e-14
0.057, -8.348e-14
0.058, -9.057e-14
0.059, -1.095e-13
0.060, -1.599e-13
0.061, -1.922e-13
0.062, -2.182e-13
0.063, -2.505e-13
0.064, -3.308e-13
0.065, -3.079e-13
0.066, -3.300e-13
0.067, -3.875e-13
0.068, -3.135e-13
0.069, -3.410e-13
0.070, -4.844e-13
0.071, -5.332e-13
0.072, -5.072e-13
0.073, -5.623e-13
0.074, -6.246e-13
0.075, -6.505e-13
0.076, -6.647e-13
0.077, -6.742e-13
0.078, -7.584e-13
0.079, -8.104e-13
0.080, -8.096e-13
0.081, -8.530e-13
0.082, -9.144e-13
0.083, -9.309e-13
0.084, -9.813e-13
0.085, -1.032e-12
0.086, -1.010e-12
0.087, -1.045e-12
0.088, -1.101e-12
0.089, -1.148e-12
0.090, -1.237e-12
0.091, -1.282e-12
0.092, -1.317e-12
0.093, -1.334e-12
0.094, -1.389e-12
0.095, -1.413e-12
0.096, -1.435e-12
0.097, -1.513e-12
0.098, -1.534e-12
0.099, -1.595e-12
0.100, -1.675e-12
0.101, -1.659e-12
0.102, -1.695e-12
0.103, -1.789e-12
0.104, -1.905e-12
0.105, -1.960e-12
0.106, -1.934e-12
0.107, -1.947e-12
0.108, -2.040e-12
0.109, -2.125e-12
0.110, -2.112e-12
0.111, -2.085e-12
0.112, -2.171e-12
0.113, -2.179e-12
0.114, -2.252e-12
0.115, -2.319e-12
0.116, -2.453e-12
0.117, -2.530e-12
0.118, -2.618e-12
0.119, -2.615e-12
0.120, -2.640e-12
0.121, -2.617e-12
0.122, -2.702e-12
0.123, -2.794e-12
0.124, -2.857e-12
0.125, -2.898e-12
0.126, -2.857e-12
0.127, -2.905e-12
0.128, -2.958e-12
0.129, -3.101e-12
0.130, -3.191e-12
0.131, -3.165e-12
0.132, -3.165e-12
0.133, -3.191e-12
0.134, -3.369e-12
0.135, -3.486e-12
0.136, -3.584e-12
0.137, -3.636e-12
0.138, -3.679e-12
0.139, -3.765e-12
0.140, -3.777e-12
0.141, -3.800e-12
0.142, -3.893e-12
0.143, -3.990e-12
0.144, -4.081e-12
0.145, -4.166e-12
0.146, -4.227e-12
0.147, -4.302e-12
0.148, -4.410e-12
0.149, -4.487e-12
0.150, -4.597e-12
0.151, -4.675e-12
0.152, -4.717e-12
0.153, -4.839e-12
0.154, -5.009e-12
0.155, -5.106e-12
0.156, -5.187e-12
0.157, -5.250e-12
0.158, -5.478e-12
0.159, -5.534e-12
0.160, -5.597e-12
0.161, -5.673e-12
0.162, -5.756e-12
0.163, -5.819e-12
0.164, -5.980e-12
0.165, -6.145e-12
0.166, -6.254e-12
0.167, -6.327e-12
0.168, -6.476e-12
0.169, -6.575e-12
0.170, -6.635e-12
0.171, -6.759e-12
0.172, -6.858e-12
0.173, -6.911e-12
0.174, -7.021e-12
0.175, -7.118e-12
0.176, -7.332e-12
0.177, -7.439e-12
0.178, -7.486e-12
0.179, -7.607e-12
0.180, -7.792e-12
0.181, -7.882e-12
0.182, -8.096e-12
0.183, -8.152e-12
0.184, -8.245e-12
0.185, -8.470e-12
0.186, -8.552e-12
0.187, -8.620e-12
0.188, -8.719e-12
0.189, -8.787e-12
0.190, -8.980e-12
0.191, -9.145e-12
0.192, -9.305e-12
0.193, -9.453e-12
0.194, -9.672e-12
0.195, -9.913e-12
0.196, -1.006e-11
0.197, -1.021e-11
0.198, -1.038e-11
0.199, -1.058e-11
0.200, -1.071e-11
0.201, -1.082e-11
0.202, -1.095e-11
0.203, -1.122e-11
0.204, -1.137e-11
0.205, -1.154e-11
0.206, -1.167e-11
0.207, -1.177e-11
0.208, -1.201e-11
0.209, -1.213e-11
0.210, -1.232e-11
0.211, -1.252e-11
0.212, -1.270e-11
0.213, -1.280e-11
0.214, -1.294e-11
0.215, -1.314e-11
0.216, -1.334e-11
0.217, -1.355e-11
0.218, -1.377e-11
0.219, -1.410e-11
0.220, -1.427e-11
0.221, -1.447e-11
0.222, -1.461e-11
0.223, -1.485e-11
0.224, -1.502e-11
0.225, -1.525e-11
0.226, -1.541e-11
0.227, -1.555e-11
0.228, -1.573e-11
0.229, -1.600e-11
0.230, -1.625e-11
0.231, -1.648e-11
0.232, -1.669e-11
0.233, -1.692e-11
0.234, -1.720e-11
0.235, -1.746e-11
0.236, -1.774e-11
0.237, -1.798e-11
0.238, -1.822e-11
0.239, -1.847e-11
0.240, -1.875e-11
0.241, -1.907e-11
0.242, -1.937e-11
0.243, -1.975e-11
0.244, -1.999e-11
0.245, -2.030e-11
0.246, -2.063e-11
0.247, -2.100e-11
0.248, -2.128e-11
0.249, -2.163e-11
0.250, -2.198e-11
0.251, -2.223e-11
0.252, -2.250e-11
0.253, -2.271e-11
0.254, -2.305e-11
0.255, -2.350e-11
0.256, -2.381e-11
0.257, -2.418e-11
0.258, -2.447e-11
0.259, -2.474e-11
0.260, -2.515e-11
0.261, -2.552e-11
0.262, -2.584e-11
0.263, -2.618e-11
0.264, -2.655e-11
0.265, -2.699e-11
0.266, -2.746e-11
0.267, -2.788e-11
0.268, -2.838e-11
0.269, -2.885e-11
0.270, -2.929e-11
0.271, -2.976e-11
0.272, -3.022e-11
0.273, -3.070e-11
0.274, -3.116e-11
0.275, -3.164e-11
0.276, -3.206e-11
0.277, -3.251e-11
0.278, -3.301e-11
0.279, -3.356e-11
0.280, -3.406e-11
0.281, -3.436e-11
0.282, -3.467e-11
0.283, -3.511e-11
0.284, -3.553e-11
0.285, -3.598e-11
0.286, -3.645e-11
0.287, -3.699e-11
0.288, -3.753e-11
0.289, -3.808e-11
0.290, -3.863e-11
0.291, -3.923e-11
0.292, -3.976e-11
0.293, -4.026e-11
0.294, -4.092e-11
0.295, -4.158e-11
0.296, -4.209e-11
0.297, -4.271e-11
0.298, -4.338e-11
0.299, -4.404e-11
0.300, -4.467e-11
0.301, -4.526e-11
0.302, -4.592e-11
0.303, -4.654e-11
0.304, -4.720e-11
0.305, -4.792e-11
0.306, -4.859e-11
0.307, -4.933e-11
0.308, -5.007e-11
0.309, -5.084e-11
0.310, -5.159e-11
0.311, -5.228e-11
0.312, -5.298e-11
0.313, -5.365e-11
0.314, -5.439e-11
0.315, -5.522e-11
0.316, -5.598e-11
0.317, -5.672e-11
0.318, -5.752e-11
0.319, -5.826e-11
0.320, -5.912e-11
0.321, -6.000e-11
0.322, -6.084e-11
0.323, -6.161e-11
0.324, -6.247e-11
0.325, -6.340e-11
0.326, -6.428e-11
0.327, -6.517e-11
0.328, -6.608e-11
0.329, -6.699e-11
0.330, -6.795e-11
0.331, -6.886e-11
0.332, -6.978e-11
0.333, -7.064e-11
0.334, -7.154e-11
0.335, -7.257e-11
0.336, -7.352e-11
0.337, -7.446e-11
0.338, -7.538e-11
0.339, -7.644e-11
0.340, -7.757e-11
0.341, -7.859e-11
0.342, -7.961e-11
0.343, -8.070e-11
0.344, -8.181e-11
0.345, -8.303e-11
0.346, -8.404e-11
0.347, -8.510e-11
0.348, -8.618e-11
0.349, -8.718e-11
0.350, -8.809e-11
0.351, -8.901e-11
0.352, -9.004e-11
0.353, -9.108e-11
0.354, -9.204e-11
0.355, -9.288e-11
0.356, -9.379e-11
0.357, -9.471e-11
0.358, -9.568e-11
0.359, -9.674e-11
0.360, -9.775e-11
0.361, -9.875e-11
0.362, -9.988e-11
0.363, -1.010e-10
0.364, -1.021e-10
0.365, -1.033e-10
0.366, -1.045e-10
0.367, -1.058e-10
0.368, -1.072e-10
0.369, -1.084e-10
0.370, -1.095e-10
0.371, -1.105e-10
0.372, -1.115e-10
0.373, -1.125e-10
0.374, -1.134e-10
0.375, -1.144e-10
0.376, -1.154e-10
0.377, -1.165e-10
0.378, -1.174e-10
0.379, -1.183e-10
0.380, -1.194e-10
0.381, -1.204e-10
0.382, -1.213e-10
0.383, -1.222e-10
0.384, -1.232e-10
0.385, -1.241e-10
0.386, -1.250e-10
0.387, -1.260e-10
0.388, -1.269e-10
0.389, -1.279e-10
0.390, -1.288e-10
0.391, -1.298e-10
0.392, -1.309e-10
0.393, -1.318e-10
0.394, -1.328e-10
0.395, -1.338e-10
0.396, -1.347e-10
0.397, -1.356e-10
0.398, -1.364e-10
0.399, -1.373e-10
0.400, -1.381e-10
0.401, -1.389e-10
0.402, -1.397e-10
0.403, -1.406e-10
0.404, -1.415e-10
0.405, -1.425e-10
0.406, -1.433e-10
0.407, -1.441e-10
0.408, -1.449e-10
0.409, -1.458e-10
0.410, -1.468e-10
0.411, -1.475e-10
0.412, -1.483e-10
0.413, -1.490e-10
0.414, -1.498e-10
0.415, -1.505e-10
0.416, -1.514e-10
0.417, -1.522e-10
0.418, -1.528e-10
0.419, -1.535e-10
0.420, -1.540e-10
0.421, -1.546e-10
0.422, -1.554e-10
0.423, -1.559e-10
0.424, -1.566e-10
0.425, -1.573e-10
0.426, -1.577e-10
0.427, -1.582e-10
0.428, -1.587e-10
0.429, -1.593e-10
0.430, -1.599e-10
0.431, -1.604e-10
0.432, -1.610e-10
0.433, -1.617e-10
0.434, -1.624e-10
0.435, -1.633e-10
0.436, -1.642e-10
0.437, -1.649e-10
0.438, -1.657e-10
0.439, -1.665e-10
0.440, -1.671e-10
0.441, -1.676e-10
0.442, -1.682e-10
0.443, -1.687e-10
0.444, -1.692e-10
0.445, -1.696e-10
0.446, -1.700e-10
0.447, -1.704e-10
0.448, -1.707e-10
0.449, -1.710e-10
0.450, -1.714e-10
0.451, -1.718e-10
0.452, -1.723e-10
0.453, -1.727e-10
0.454, -1.731e-10
0.455, -1.735e-10
0.456, -1.740e-10
0.457, -1.745e-10
0.458, -1.749e-10
0.459, -1.754e-10
0.460, -1.760e-10
0.461, -1.766e-10
0.462, -1.771e-10
0.463, -1.777e-10
0.464, -1.782e-10
0.465, -1.787e-10
0.466, -1.791e-10
0.467, -1.795e-10
0.468, -1.799e-10
0.469, -1.801e-10
0.470, -1.803e-10
0.471, -1.805e-10
0.472, -1.808e-10
0.473, -1.808e-10
0.474, -1.809e-10
0.475, -1.810e-10
0.476, -1.812e-10
0.477, -1.814e-10
0.478, -1.817e-10
0.479, -1.820e-10
0.480, -1.822e-10
0.481, -1.826e-10
0.482, -1.830e-10
0.483, -1.835e-10
0.484, -1.840e-10
0.485, -1.844e-10
0.486, -1.851e-10
0.487, -1.857e-10
0.488, -1.861e-10
0.489, -1.866e-10
0.490, -1.870e-10
0.491, -1.874e-10
0.492, -1.880e-10
0.493, -1.888e-10
0.494, -1.895e-10
0.495, -1.902e-10
0.496, -1.909e-10
0.497, -1.914e-10
0.498, -1.917e-10
0.499, -1.919e-10
0.500, -1.921e-10
0.501, -1.923e-10
0.502, -1.926e-10
0.503, -1.929e-10
0.504, -1.932e-10
0.505, -1.937e-10
0.506, -1.944e-10
0.507, -1.952e-10
0.508, -1.961e-10
0.509, -1.968e-10
0.510, -1.972e-10
0.511, -1.974e-10
0.512, -1.975e-10
0.513, -1.976e-10
0.514, -1.978e-10
0.515, -1.979e-10
0.516, -1.979e-10
0.517, -1.982e-10
0.518, -1.985e-10
0.519, -1.990e-10
0.520, -1.997e-10
0.521, -2.007e-10
0.522, -2.020e-10
0.523, -2.032e-10
0.524, -2.043e-10
0.525, -2.052e-10
0.526, -2.059e-10
0.527, -2.065e-10
0.528, -2.069e-10
0.529, -2.071e-10
0.530, -2.071e-10
0.531, -2.070e-10
0.532, -2.070e-10
0.533, -2.071e-10
0.534, -2.072e-10
0.535, -2.071e-10
0.536, -2.069e-10
0.537, -2.068e-10
0.538, -2.065e-10
0.539, -2.064e-10
0.540, -2.064e-10
0.541, -2.064e-10
0.542, -2.064e-10
0.543, -2.063e-10
0.544, -2.063e-10
0.545, -2.063e-10
0.546, -2.063e-10
0.547, -2.063e-10
0.548, -2.063e-10
0.549, -2.062e-10
0.550, -2.062e-10
0.551, -2.064e-10
0.552, -2.067e-10
0.553, -2.072e-10
0.554, -2.081e-10
0.555, -2.094e-10
0.556, -2.110e-10
0.557, -2.122e-10
0.558, -2.131e-10
0.559, -2.138e-10
0.560, -2.139e-10
0.561, -2.138e-10
0.562, -2.136e-10
0.563, -2.134e-10
0.564, -2.132e-10
0.565, -2.131e-10
0.566, -2.129e-10
0.567, -2.128e-10
0.568, -2.129e-10
0.569, -2.128e-10
0.570, -2.127e-10
0.571, -2.128e-10
0.572, -2.129e-10
0.573, -2.133e-10
0.574, -2.138e-10
